week,year,stream,gage_number,gage_agency,site_group,parameter,statistic,value
43,1999,mill creek,MLM,CDEC,mill creek,temperature,min,10.666666666666668
44,1999,mill creek,MLM,CDEC,mill creek,temperature,max,12.555555555555555
44,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,11.430440533701402
44,1999,mill creek,MLM,CDEC,mill creek,temperature,min,2.999999999999999
45,1999,mill creek,MLM,CDEC,mill creek,temperature,max,12.555555555555555
45,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,11.267526455026454
45,1999,mill creek,MLM,CDEC,mill creek,temperature,min,10.333333333333334
46,1999,mill creek,MLM,CDEC,mill creek,temperature,max,12.666666666666664
46,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,11.022486772486772
46,1999,mill creek,MLM,CDEC,mill creek,temperature,min,8.499999999999998
47,1999,mill creek,MLM,CDEC,mill creek,temperature,max,9.888888888888888
47,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,7.826058201058202
47,1999,mill creek,MLM,CDEC,mill creek,temperature,min,6.166666666666668
48,1999,mill creek,MLM,CDEC,mill creek,temperature,max,10.222222222222221
48,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,9.082671957671957
48,1999,mill creek,MLM,CDEC,mill creek,temperature,min,7.333333333333335
49,1999,mill creek,MLM,CDEC,mill creek,temperature,max,8
49,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,6.4848753829016985
49,1999,mill creek,MLM,CDEC,mill creek,temperature,min,5.7222222222222205
50,1999,mill creek,MLM,CDEC,mill creek,temperature,max,5.999999999999998
50,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,5.651234567901234
50,1999,mill creek,MLM,CDEC,mill creek,temperature,min,5.444444444444443
52,1999,mill creek,MLM,CDEC,mill creek,temperature,max,6.888888888888888
52,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,6.181888327721661
52,1999,mill creek,MLM,CDEC,mill creek,temperature,min,5.277777777777778
53,1999,mill creek,MLM,CDEC,mill creek,temperature,max,5.777777777777777
53,1999,mill creek,MLM,CDEC,mill creek,temperature,mean,5.375
53,1999,mill creek,MLM,CDEC,mill creek,temperature,min,5
1,2000,mill creek,MLM,CDEC,mill creek,temperature,max,6.833333333333332
1,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,5.387896825396825
1,2000,mill creek,MLM,CDEC,mill creek,temperature,min,4.166666666666667
2,2000,mill creek,MLM,CDEC,mill creek,temperature,max,9.222222222222221
2,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,7.426256613756613
2,2000,mill creek,MLM,CDEC,mill creek,temperature,min,6.0555555555555545
3,2000,mill creek,MLM,CDEC,mill creek,temperature,max,10.555555555555555
3,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,8.525462962962964
3,2000,mill creek,MLM,CDEC,mill creek,temperature,min,6.222222222222224
4,2000,mill creek,MLM,CDEC,mill creek,temperature,max,9.055555555555554
4,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,7.872124453646193
4,2000,mill creek,MLM,CDEC,mill creek,temperature,min,6.166666666666668
5,2000,mill creek,MLM,CDEC,mill creek,temperature,max,9.166666666666666
5,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,7.8125
5,2000,mill creek,MLM,CDEC,mill creek,temperature,min,5.611111111111112
6,2000,mill creek,MLM,CDEC,mill creek,temperature,max,10.277777777777779
6,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,9.202050264550264
6,2000,mill creek,MLM,CDEC,mill creek,temperature,min,8.222222222222221
7,2000,mill creek,MLM,CDEC,mill creek,temperature,max,9.444444444444445
7,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,8.296296296296296
7,2000,mill creek,MLM,CDEC,mill creek,temperature,min,7.000000000000001
8,2000,mill creek,MLM,CDEC,mill creek,temperature,max,9.722222222222221
8,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,8.1875
8,2000,mill creek,MLM,CDEC,mill creek,temperature,min,6.666666666666667
9,2000,mill creek,MLM,CDEC,mill creek,temperature,max,9.944444444444445
9,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,8.561375661375662
9,2000,mill creek,MLM,CDEC,mill creek,temperature,min,6.833333333333332
10,2000,mill creek,MLM,CDEC,mill creek,temperature,max,10.055555555555555
10,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,8.566137566137566
10,2000,mill creek,MLM,CDEC,mill creek,temperature,min,7.444444444444445
11,2000,mill creek,MLM,CDEC,mill creek,temperature,max,11.555555555555554
11,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,9.928240740740739
11,2000,mill creek,MLM,CDEC,mill creek,temperature,min,8.11111111111111
12,2000,mill creek,MLM,CDEC,mill creek,temperature,max,11.944444444444445
12,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,10.142526455026456
12,2000,mill creek,MLM,CDEC,mill creek,temperature,min,7.277777777777778
13,2000,mill creek,MLM,CDEC,mill creek,temperature,max,11.944444444444445
13,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,10.671296296296296
13,2000,mill creek,MLM,CDEC,mill creek,temperature,min,8.944444444444445
14,2000,mill creek,MLM,CDEC,mill creek,temperature,max,14.277777777777779
14,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,12.364237614237613
14,2000,mill creek,MLM,CDEC,mill creek,temperature,min,9.888888888888888
15,2000,mill creek,MLM,CDEC,mill creek,temperature,max,14.055555555555554
15,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,12.21626984126984
15,2000,mill creek,MLM,CDEC,mill creek,temperature,min,9.833333333333336
16,2000,mill creek,MLM,CDEC,mill creek,temperature,max,14.88888888888889
16,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,10.77579365079365
16,2000,mill creek,MLM,CDEC,mill creek,temperature,min,9.055555555555554
17,2000,mill creek,MLM,CDEC,mill creek,temperature,max,14.944444444444445
17,2000,mill creek,MLM,CDEC,mill creek,temperature,mean,12.88888888888889
17,2000,mill creek,MLM,CDEC,mill creek,temperature,min,10.777777777777779
18,2000,mill creek,MLM,CDEC,mill creek,temperature,max,15.88888888888889
