date,stream,site_group,gage_agency,gage_number,statistic,value
1998-11-25,feather river,upper feather lfc,interpolated,interpolated,mean,6.972978082925577
1998-11-25,feather river,upper feather lfc,interpolated,interpolated,max,6.536231906507885
1998-11-25,feather river,upper feather lfc,interpolated,interpolated,min,6.7968504379895265
1998-11-26,feather river,upper feather lfc,interpolated,interpolated,mean,6.865333396234348
1998-11-26,feather river,upper feather lfc,interpolated,interpolated,max,6.310509980749781
1998-11-26,feather river,upper feather lfc,interpolated,interpolated,min,6.79726284336437
1998-11-27,feather river,upper feather lfc,interpolated,interpolated,mean,7.190038425424772
1998-11-27,feather river,upper feather lfc,interpolated,interpolated,max,6.537318279046273
1998-11-27,feather river,upper feather lfc,interpolated,interpolated,min,7.19785209661242
1998-11-28,feather river,upper feather lfc,interpolated,interpolated,mean,7.298568596674369
1998-11-28,feather river,upper feather lfc,interpolated,interpolated,max,6.764126577342765
1998-11-28,feather river,upper feather lfc,interpolated,interpolated,min,7.198264501987264
1998-11-29,feather river,upper feather lfc,interpolated,interpolated,mean,7.082836481012728
1998-11-29,feather river,upper feather lfc,interpolated,interpolated,max,6.538404651584662
1998-11-29,feather river,upper feather lfc,interpolated,interpolated,min,6.998588483425503
1998-11-30,feather river,upper feather lfc,interpolated,interpolated,mean,7.407541510203151
1998-11-30,feather river,upper feather lfc,interpolated,interpolated,max,6.991478061908451
1998-11-30,feather river,upper feather lfc,interpolated,interpolated,min,7.19908931273695
1998-12-01,feather river,upper feather lfc,interpolated,interpolated,mean,7.407984252482336
1998-12-01,feather river,upper feather lfc,interpolated,interpolated,max,6.7657561361503475
1998-12-01,feather river,upper feather lfc,interpolated,interpolated,min,7.399590142048398
1998-12-02,feather river,upper feather lfc,interpolated,interpolated,mean,7.40842699476152
1998-12-02,feather river,upper feather lfc,interpolated,interpolated,max,6.766299322419542
1998-12-02,feather river,upper feather lfc,interpolated,interpolated,min,7.400002547423241
1998-12-03,feather river,upper feather lfc,interpolated,interpolated,mean,7.084607450129466
1998-12-03,feather river,upper feather lfc,interpolated,interpolated,max,6.766842508688736
1998-12-03,feather river,upper feather lfc,interpolated,interpolated,min,6.800149680988273
1998-12-04,feather river,upper feather lfc,interpolated,interpolated,mean,6.3284381896157615
1998-12-04,feather river,upper feather lfc,interpolated,interpolated,max,5.862325246848741
1998-12-04,feather river,upper feather lfc,interpolated,interpolated,min,6.200296814553306
1998-12-05,feather river,upper feather lfc,interpolated,interpolated,mean,5.788443787042883
1998-12-05,feather river,upper feather lfc,interpolated,interpolated,max,5.184073097036042
1998-12-05,feather river,upper feather lfc,interpolated,interpolated,min,5.800532372054943
1998-12-06,feather river,upper feather lfc,interpolated,interpolated,mean,5.572711671381242
1998-12-06,feather river,upper feather lfc,interpolated,interpolated,max,4.958351171277939
1998-12-06,feather river,upper feather lfc,interpolated,interpolated,min,5.600856353493182
1998-12-07,feather river,upper feather lfc,interpolated,interpolated,mean,5.356979555719601
1998-12-07,feather river,upper feather lfc,interpolated,interpolated,max,4.732629245519835
1998-12-07,feather river,upper feather lfc,interpolated,interpolated,min,5.401180334931422
1998-12-08,feather river,upper feather lfc,interpolated,interpolated,mean,5.89785944285085
1998-12-08,feather river,upper feather lfc,interpolated,interpolated,max,5.411967767870923
1998-12-08,feather river,upper feather lfc,interpolated,interpolated,min,5.801769588179472
1998-12-09,feather river,upper feather lfc,interpolated,interpolated,mean,5.6821273271892085
1998-12-09,feather river,upper feather lfc,interpolated,interpolated,max,5.186245842112819
1998-12-09,feather river,upper feather lfc,interpolated,interpolated,min,5.602093569617713
1998-12-10,feather river,upper feather lfc,interpolated,interpolated,mean,5.682570069468394
1998-12-10,feather river,upper feather lfc,interpolated,interpolated,max,5.186789028382013
1998-12-10,feather river,upper feather lfc,interpolated,interpolated,min,5.602505974992555
1998-12-11,feather river,upper feather lfc,interpolated,interpolated,mean,5.7911002407179915
1998-12-11,feather river,upper feather lfc,interpolated,interpolated,max,5.1873322146512075
1998-12-11,feather river,upper feather lfc,interpolated,interpolated,min,5.803006804304003
1998-12-12,feather river,upper feather lfc,interpolated,interpolated,mean,6.115805269908414
1998-12-12,feather river,upper feather lfc,interpolated,interpolated,max,5.640405624974997
1998-12-12,feather river,upper feather lfc,interpolated,interpolated,min,6.003507633615449
1998-12-13,feather river,upper feather lfc,interpolated,interpolated,mean,6.440510299098837
1998-12-13,feather river,upper feather lfc,interpolated,interpolated,max,5.867213923271489
1998-12-13,feather river,upper feather lfc,interpolated,interpolated,min,6.4040968868635
1998-12-14,feather river,upper feather lfc,interpolated,interpolated,mean,6.549040470348434
1998-12-14,feather river,upper feather lfc,interpolated,interpolated,max,6.094022221567981
1998-12-14,feather river,upper feather lfc,interpolated,interpolated,min,6.404509292238343
1998-12-15,feather river,upper feather lfc,interpolated,interpolated,mean,6.441395783657206
1998-12-15,feather river,upper feather lfc,interpolated,interpolated,max,6.094565407837175
1998-12-15,feather river,upper feather lfc,interpolated,interpolated,min,6.2048332736765826
1998-12-16,feather river,upper feather lfc,interpolated,interpolated,mean,6.766100812847629
1998-12-16,feather river,upper feather lfc,interpolated,interpolated,max,6.547638818160964
1998-12-16,feather river,upper feather lfc,interpolated,interpolated,min,6.4053341029880295
1998-12-17,feather river,upper feather lfc,interpolated,interpolated,mean,6.766543555126814
1998-12-17,feather river,upper feather lfc,interpolated,interpolated,max,6.321916892402861
1998-12-17,feather river,upper feather lfc,interpolated,interpolated,min,6.6058349322994765
1998-12-18,feather river,upper feather lfc,interpolated,interpolated,mean,6.550811439465173
1998-12-18,feather river,upper feather lfc,interpolated,interpolated,max,6.096194966644758
1998-12-18,feather river,upper feather lfc,interpolated,interpolated,min,6.406158913737716
