date,stream,site_group,gage_agency,gage_number,statistic,value
1999-01-15,feather river,upper feather hfc,interpolated,interpolated,max,11.35469755413077
1999-01-15,feather river,upper feather hfc,interpolated,interpolated,min,10.48291103028815
1999-01-16,feather river,upper feather hfc,interpolated,interpolated,mean,12.141818770305097
1999-01-16,feather river,upper feather hfc,interpolated,interpolated,max,12.021553630519495
1999-01-16,feather river,upper feather hfc,interpolated,interpolated,min,11.572190737949224
1999-01-17,feather river,upper feather hfc,interpolated,interpolated,mean,12.31322976253165
1999-01-17,feather river,upper feather hfc,interpolated,interpolated,max,12.021328794565857
1999-01-17,feather river,upper feather hfc,interpolated,interpolated,min,11.935089911446681
1999-01-18,feather river,upper feather hfc,interpolated,interpolated,mean,12.828351073132545
1999-01-18,feather river,upper feather hfc,interpolated,interpolated,max,12.688184870954586
1999-01-18,feather river,upper feather hfc,interpolated,interpolated,min,12.297989084944138
1999-01-19,feather river,upper feather hfc,interpolated,interpolated,mean,12.656051746984753
1999-01-19,feather river,upper feather hfc,interpolated,interpolated,max,12.354419578829763
1999-01-19,feather river,upper feather hfc,interpolated,interpolated,min,12.297697991359787
1999-01-20,feather river,upper feather hfc,interpolated,interpolated,mean,12.655607580024132
1999-01-20,feather river,upper feather hfc,interpolated,interpolated,max,12.354194742876125
1999-01-20,feather river,upper feather hfc,interpolated,interpolated,min,12.297406897775435
1999-01-21,feather river,upper feather hfc,interpolated,interpolated,mean,12.139597935501996
1999-01-21,feather river,upper feather hfc,interpolated,interpolated,max,12.020429450751303
1999-01-21,feather river,upper feather hfc,interpolated,interpolated,min,11.570735270027464
1999-01-22,feather river,upper feather hfc,interpolated,interpolated,mean,12.139153768541377
1999-01-22,feather river,upper feather hfc,interpolated,interpolated,max,12.020204614797663
1999-01-22,feather river,upper feather hfc,interpolated,interpolated,min,11.570444176443111
1999-01-23,feather river,upper feather hfc,interpolated,interpolated,mean,12.482419919955099
1999-01-23,feather river,upper feather hfc,interpolated,interpolated,max,12.353520235015209
1999-01-23,feather river,upper feather hfc,interpolated,interpolated,min,11.933343349940568
1999-01-24,feather river,upper feather hfc,interpolated,interpolated,mean,11.622699957058618
1999-01-24,feather river,upper feather hfc,interpolated,interpolated,max,11.686214486719205
1999-01-24,feather river,upper feather hfc,interpolated,interpolated,min,10.84348145511079
1999-01-25,feather river,upper feather hfc,interpolated,interpolated,mean,11.278545471723653
1999-01-25,feather river,upper feather hfc,interpolated,interpolated,max,11.352449194594382
1999-01-25,feather river,upper feather hfc,interpolated,interpolated,min,10.480000094444629
1999-01-26,feather river,upper feather hfc,interpolated,interpolated,mean,11.449956463950205
1999-01-26,feather river,upper feather hfc,interpolated,interpolated,max,11.352224358640743
