week,year,stream,gage_number,gage_agency,site_group,parameter,statistic,value
22,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,18.66348860788569
22,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,16.10663917859112
22,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,13.120634112668268
23,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,17.670609330667745
23,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,15.431206912983717
23,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,12.56472467421727
24,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,18.993071564209515
24,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,17.04066964728486
24,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,13.953432580217942
25,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,20.977265570067193
25,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,18.3890015244536
25,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,15.897713390945352
26,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,21.96908095425195
26,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,19.01922354450823
26,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,16.174714597952118
27,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,21.63824635906556
27,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,18.866052993165642
27,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,15.895918544415975
28,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,22.62993657936407
28,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,19.99677582272404
28,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,16.45137927123463
29,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,21.63737021186177
29,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,18.92964727141803
29,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,16.172022328158057
30,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,21.305972379187224
30,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,18.798237624836474
30,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,16.171685794433802
31,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,21.63624373688546
31,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,19.123806978236626
31,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,16.448799179348654
32,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,20.974136472910786
32,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,18.513657426912324
32,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,16.169666592088255
33,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,20.973823563195143
33,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,18.425769589852838
33,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,15.613084086188746
34,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,21.96576411126616
34,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,19.03423070514643
34,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,15.61297190828066
35,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,21.63467918830726
35,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,18.445842058583164
35,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,14.77781770466118
36,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,19.980130720716534
36,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,17.53103984060439
36,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,14.777593348845008
37,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,20.310652406187288
37,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,18.161261860659014
37,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,15.887841735033795
38,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,20.310089168699133
38,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,18.09513492836056
38,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,15.609494393129998
39,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,20.30990142286975
39,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,17.659072615124533
39,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,15.052575353506231
40,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,18.65560328305154
40,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,16.613704968579555
40,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,13.940195587063812
41,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,17.662786587776726
41,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,16.06883813153836
41,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,13.939522519615297
42,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,16.67009505638817
42,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,14.718817818338907
42,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,12.827030575264793
43,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,15.67727836111336
43,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,14.239233695580813
43,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,12.548571055452909
44,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,15.015358842968066
44,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,13.977258620433057
44,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,12.270111535641025
45,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,15.014920769366167
45,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,13.541196307197024
45,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,11.991203304196796
46,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,14.683522936691624
46,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,13.300982136810296
46,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,11.15649781220966
47,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,12.698577947516409
47,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,11.493982823629139
47,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,9.766331593403873
48,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,12.367367860671248
48,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,11.841313081790327
48,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,10.32190449813061
49,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,11.37442600151018
49,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,10.51305367335191
49,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,9.486862472419215
50,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,10.712569065308012
50,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,10.12051316963795
50,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,8.93016778861162
51,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,11.373612436249514
51,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,10.598408856365339
51,1999,yuba river,interpolated,interpolated,yuba river,temperature,min,9.207954240974988
52,1999,yuba river,interpolated,interpolated,yuba river,temperature,max,11.042590095233738
52,1999,yuba river,interpolated,interpolated,yuba river,temperature,mean,10.44523830502275
