stream,site,release_id,date_released,time_released,site_released,subsite_released,number_released,median_fork_length_released,day_or_night_release,origin_released,run_released,lifestage_released,source_released,days_held_post_mark,flow_at_release,temperature_at_release,turbidity_at_release,night_release,include,week_released,year_released,mark_type
clear creek,lcc,CLR515,2011-02-12,17:35:00,vulture bar,not recorded,301,37,NA,not recorded,not recorded,not recorded,not recorded,1,225,48.41,1.08,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR516,2011-02-16,19:06:00,vulture bar,not recorded,298,36,NA,not recorded,not recorded,not recorded,not recorded,0,389,46.08,3.36,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR517,2011-02-16,19:11:00,vulture bar,not recorded,296,37,NA,not recorded,not recorded,not recorded,not recorded,0,385,46.08,3.36,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR518,2011-02-19,17:40:00,vulture bar,not recorded,301,35,NA,not recorded,not recorded,not recorded,not recorded,1,418,46.26,3.44,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR519,2011-02-19,17:45:00,vulture bar,not recorded,297,35,NA,not recorded,not recorded,not recorded,not recorded,1,418,46.26,3.44,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR520,2011-02-23,17:50:00,vulture bar,not recorded,293,36,NA,not recorded,not recorded,not recorded,not recorded,1,308,47.38,2.11,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR521,2011-02-23,17:55:00,vulture bar,not recorded,295,34,NA,not recorded,not recorded,not recorded,not recorded,1,308,47.38,2.11,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR522,2011-02-26,17:35:00,vulture bar,not recorded,249,35,NA,not recorded,not recorded,not recorded,not recorded,1,284,46.66,1.88,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR523,2011-02-26,17:40:00,vulture bar,not recorded,253,35,NA,not recorded,not recorded,not recorded,not recorded,1,284,46.66,1.88,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR524,2011-02-26,17:45:00,vulture bar,not recorded,250,36,NA,not recorded,not recorded,not recorded,not recorded,1,284,46.66,1.88,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR525,2011-03-02,20:15:00,vulture bar,not recorded,303,35,NA,not recorded,not recorded,not recorded,not recorded,1,642,47.2,17.1,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR526,2011-03-02,20:15:00,vulture bar,not recorded,303,35,NA,not recorded,not recorded,not recorded,not recorded,1,642,47.2,17.1,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR527,2011-03-05,17:51:00,vulture bar,not recorded,250,36,NA,not recorded,not recorded,not recorded,not recorded,1,355,48.85,2.42,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR528,2011-03-05,17:56:00,vulture bar,not recorded,251,36,NA,not recorded,not recorded,not recorded,not recorded,1,359,48.85,2.42,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR529,2011-03-05,18:01:00,vulture bar,not recorded,317,37,NA,not recorded,not recorded,not recorded,not recorded,1,359,48.76,2.42,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR530,2011-03-09,18:10:00,vulture bar,not recorded,257,36,NA,not recorded,not recorded,not recorded,not recorded,1,311,49.83,1.3,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR531,2011-03-09,18:15:00,vulture bar,not recorded,261,37,NA,not recorded,not recorded,not recorded,not recorded,1,311,49.83,1.3,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR532,2011-03-12,18:41:00,vulture bar,not recorded,302,35,NA,not recorded,not recorded,not recorded,not recorded,1,294,49.03,1.51,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR533,2011-03-30,19:50:00,vulture bar,not recorded,109,37,NA,not recorded,not recorded,not recorded,not recorded,0,464,54.04,4.88,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR534,2011-03-30,19:55:00,vulture bar,not recorded,118,35,NA,not recorded,not recorded,not recorded,not recorded,0,477,54.04,4.88,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR535,2011-04-23,19:00:00,vulture bar,not recorded,93,36,NA,not recorded,not recorded,not recorded,not recorded,0,288,52.16,2.11,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR536,2012-01-05,18:30:00,clear creek road bridge,not recorded,195,36,NA,not recorded,not recorded,not recorded,not recorded,1,217,46.39,1.86,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR537,2012-01-05,18:30:00,clear creek road bridge,not recorded,200,37,NA,not recorded,not recorded,not recorded,not recorded,1,217,46.39,1.86,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR538,2012-01-05,18:30:00,clear creek road bridge,not recorded,205,37,NA,not recorded,not recorded,not recorded,not recorded,1,217,46.39,1.86,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR539,2012-01-10,18:30:00,vulture bar,not recorded,201,36,NA,not recorded,not recorded,not recorded,not recorded,1,217,45.35,1.28,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR540,2012-01-10,18:30:00,vulture bar,not recorded,208,36,NA,not recorded,not recorded,not recorded,not recorded,1,217,45.35,1.28,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR541,2012-01-10,18:30:00,vulture bar,not recorded,206,36,NA,not recorded,not recorded,not recorded,not recorded,1,217,45.35,1.28,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR542,2012-01-13,18:21:00,clear creek road bridge,not recorded,208,37,NA,not recorded,not recorded,not recorded,not recorded,1,214,45.67,1.2,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR543,2012-01-13,18:26:00,clear creek road bridge,not recorded,200,37,NA,not recorded,not recorded,not recorded,not recorded,1,217,45.67,1.2,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR544,2012-01-13,18:31:00,clear creek road bridge,not recorded,202,37,NA,not recorded,not recorded,not recorded,not recorded,1,217,45.67,1.2,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR545,2012-01-17,21:07:00,vulture bar,not recorded,228,36,NA,not recorded,not recorded,not recorded,not recorded,1,214,42.71,0.76,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR546,2012-01-17,21:10:00,vulture bar,not recorded,203,36,NA,not recorded,not recorded,not recorded,not recorded,1,214,42.71,0.76,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR547,2012-01-17,21:13:00,vulture bar,not recorded,199,37,NA,not recorded,not recorded,not recorded,not recorded,1,214,42.71,0.76,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR548,2012-01-21,23:33:00,clear creek road bridge,not recorded,203,37,NA,not recorded,not recorded,not recorded,not recorded,2,256,43.53,3.04,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR549,2012-01-21,23:38:00,clear creek road bridge,not recorded,202,36,NA,not recorded,not recorded,not recorded,not recorded,1,256,43.53,3.04,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR550,2012-01-21,23:45:00,clear creek road bridge,not recorded,211,37,NA,not recorded,not recorded,not recorded,not recorded,1,256,43.53,3.04,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR551,2012-01-24,18:55:00,vulture bar,not recorded,207,37,NA,not recorded,not recorded,not recorded,not recorded,1,252,45.62,2.76,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR552,2012-01-24,19:00:00,vulture bar,not recorded,207,36,NA,not recorded,not recorded,not recorded,not recorded,1,252,45.49,2.76,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR553,2012-01-24,19:05:00,vulture bar,not recorded,206,37,NA,not recorded,not recorded,not recorded,not recorded,1,252,45.49,2.76,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR554,2012-01-27,18:50:00,clear creek road bridge,not recorded,301,36,NA,not recorded,not recorded,not recorded,not recorded,1,243,43.81,2.32,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR555,2012-01-27,18:55:00,clear creek road bridge,not recorded,297,36,NA,not recorded,not recorded,not recorded,not recorded,1,243,43.81,2.32,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR556,2012-01-31,20:12:00,vulture bar,not recorded,293,37,NA,not recorded,not recorded,not recorded,not recorded,1,228,44.54,1.83,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR557,2012-01-31,20:20:00,vulture bar,not recorded,307,35,NA,not recorded,not recorded,not recorded,not recorded,1,228,44.54,1.83,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR558,2012-02-03,20:02:00,clear creek road bridge,not recorded,307,36,NA,not recorded,not recorded,not recorded,not recorded,1,228,44.54,1.95,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR559,2012-02-03,20:07:00,clear creek road bridge,not recorded,300,37,NA,not recorded,not recorded,not recorded,not recorded,1,228,44.54,1.95,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR560,2012-02-07,18:20:00,vulture bar,not recorded,306,37,NA,not recorded,not recorded,not recorded,not recorded,1,234,44.86,1.65,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR561,2012-02-07,18:25:00,vulture bar,not recorded,303,37,NA,not recorded,not recorded,not recorded,not recorded,1,234,44.86,1.65,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR562,2012-02-10,20:14:00,clear creek road bridge,not recorded,299,36,NA,not recorded,not recorded,not recorded,not recorded,1,231,45.31,1.5,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR563,2012-02-10,20:19:00,clear creek road bridge,not recorded,296,37,NA,not recorded,not recorded,not recorded,not recorded,1,231,45.26,1.5,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR564,2012-02-14,18:03:00,vulture bar,not recorded,299,37,NA,not recorded,not recorded,not recorded,not recorded,1,234,46.62,1.35,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR565,2012-02-14,18:08:00,vulture bar,not recorded,295,37,NA,not recorded,not recorded,not recorded,not recorded,1,234,46.62,1.35,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR566,2012-02-21,18:36:00,vulture bar,not recorded,308,36,NA,not recorded,not recorded,not recorded,not recorded,1,225,47.56,1.13,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR567,2012-02-21,18:41:00,vulture bar,not recorded,311,37,NA,not recorded,not recorded,not recorded,not recorded,1,228,47.56,1.13,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR568,2012-02-28,20:49:00,vulture bar,not recorded,309,36,NA,not recorded,not recorded,not recorded,not recorded,1,225,45.31,0.96,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR569,2012-02-28,20:54:00,vulture bar,not recorded,308,37,NA,not recorded,not recorded,not recorded,not recorded,1,225,45.31,0.96,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR570,2012-03-06,20:11:00,vulture bar,not recorded,302,36,NA,not recorded,not recorded,not recorded,not recorded,1,225,46.26,0.85,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR571,2012-03-06,20:17:00,vulture bar,not recorded,306,36,NA,not recorded,not recorded,not recorded,not recorded,1,225,46.26,0.85,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR572,2012-03-15,22:40:00,vulture bar,not recorded,303,37,NA,not recorded,not recorded,not recorded,not recorded,1,1650,50.66,93.8,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR573,2012-03-15,22:45:00,vulture bar,not recorded,300,37,NA,not recorded,not recorded,not recorded,not recorded,1,1650,50.66,93.8,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR574,2012-03-17,20:20:00,vulture bar,not recorded,302,35,NA,not recorded,not recorded,not recorded,not recorded,0,385,48.89,6.34,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR575,2012-03-17,20:25:00,vulture bar,not recorded,299,35,NA,not recorded,not recorded,not recorded,not recorded,0,385,48.89,6.34,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR576,2012-03-21,18:53:00,vulture bar,not recorded,306,36,NA,not recorded,not recorded,not recorded,not recorded,1,265,48.76,1.54,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR577,2012-03-21,19:00:00,vulture bar,not recorded,306,35,NA,not recorded,not recorded,not recorded,not recorded,1,265,48.72,1.54,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR578,2012-03-29,19:35:00,vulture bar,not recorded,271,37,NA,not recorded,not recorded,not recorded,not recorded,1,674,48.76,6.56,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR579,2012-03-29,19:40:00,vulture bar,not recorded,269,35,NA,not recorded,not recorded,not recorded,not recorded,1,674,48.76,6.56,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR580,2012-04-04,19:42:00,vulture bar,not recorded,291,36,NA,not recorded,not recorded,not recorded,not recorded,1,362,49.6,4.98,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR581,2012-04-04,19:47:00,vulture bar,not recorded,296,37,NA,not recorded,not recorded,not recorded,not recorded,1,362,49.6,4.98,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR582,2012-04-12,21:20:00,vulture bar,not recorded,161,36,NA,not recorded,not recorded,not recorded,not recorded,1,509,49.29,5.53,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR583,2012-04-12,21:25:00,vulture bar,not recorded,143,35,NA,not recorded,not recorded,not recorded,not recorded,1,509,49.29,5.53,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR584,2012-04-12,21:30:00,vulture bar,not recorded,165,36,NA,not recorded,not recorded,not recorded,not recorded,1,509,49.25,5.53,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR585,2012-12-26,22:07:00,clear creek road bridge,not recorded,412,36,NA,not recorded,not recorded,not recorded,not recorded,1,426,45.58,19.8,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR586,2013-01-02,22:45:00,clear creek road bridge,not recorded,348,36,NA,not recorded,not recorded,not recorded,not recorded,2,278,43.53,3.21,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR587,2013-01-02,22:50:00,clear creek road bridge,not recorded,332,35,NA,not recorded,not recorded,not recorded,not recorded,2,278,43.53,3.21,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR588,2013-01-09,22:39:00,vulture bar,not recorded,422,36,NA,not recorded,not recorded,not recorded,not recorded,1,265,45.26,1.44,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR589,2013-01-09,22:45:00,vulture bar,not recorded,424,36,NA,not recorded,not recorded,not recorded,not recorded,1,265,45.26,1.44,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR590,2013-01-15,22:30:00,vulture bar,not recorded,425,36,NA,not recorded,not recorded,not recorded,not recorded,1,249,43.17,1.52,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR591,2013-01-15,22:35:00,vulture bar,not recorded,415,36,NA,not recorded,not recorded,not recorded,not recorded,1,249,43.17,1.52,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR592,2013-01-22,18:16:00,vulture bar,not recorded,315,37,NA,not recorded,not recorded,not recorded,not recorded,1,243,44.17,1.35,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR593,2013-01-22,18:21:00,vulture bar,not recorded,308,37,NA,not recorded,not recorded,not recorded,not recorded,1,243,44.17,1.35,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR594,2013-02-05,18:16:00,vulture bar,not recorded,409,37,NA,not recorded,not recorded,not recorded,not recorded,2,234,46.57,1.3,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR595,2013-02-05,18:21:00,vulture bar,not recorded,428,37,NA,not recorded,not recorded,not recorded,not recorded,2,234,46.57,1.3,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR596,2013-02-14,18:06:00,vulture bar,not recorded,420,37,NA,not recorded,not recorded,not recorded,not recorded,1,217,48.94,1.15,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR597,2013-02-14,18:11:00,vulture bar,not recorded,418,37,NA,not recorded,not recorded,not recorded,not recorded,1,217,48.94,1.15,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR598,2013-02-21,18:30:00,vulture bar,not recorded,406,37,NA,not recorded,not recorded,not recorded,not recorded,1,217,47.74,0.95,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR599,2013-02-21,18:35:00,vulture bar,not recorded,389,36,NA,not recorded,not recorded,not recorded,not recorded,1,217,47.74,0.95,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR600,2013-02-28,17:00:00,vulture bar,not recorded,410,37,NA,not recorded,not recorded,not recorded,not recorded,1,217,50.27,1.13,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR601,2013-02-28,17:07:00,vulture bar,not recorded,414,37,NA,not recorded,not recorded,not recorded,not recorded,1,217,50.27,1.13,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR602,2013-03-07,18:15:00,vulture bar,not recorded,398,37,NA,not recorded,not recorded,not recorded,not recorded,1,224,49.43,1.1,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR603,2013-03-07,18:23:00,vulture bar,not recorded,402,37,NA,not recorded,not recorded,not recorded,not recorded,1,224,49.43,1.1,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR604,2013-03-14,19:00:00,vulture bar,not recorded,393,37,NA,not recorded,not recorded,not recorded,not recorded,1,218,51.32,1.05,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR605,2013-03-14,19:05:00,vulture bar,not recorded,399,37,NA,not recorded,not recorded,not recorded,not recorded,1,218,51.32,1.05,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR606,2013-03-21,19:45:00,vulture bar,not recorded,244,37,NA,not recorded,not recorded,not recorded,not recorded,1,230,50.71,1.06,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR607,2013-03-28,19:31:00,vulture bar,not recorded,224,36,NA,not recorded,not recorded,not recorded,not recorded,1,218,51.11,0.97,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR608,2013-04-04,19:36:00,vulture bar,not recorded,168,37,NA,not recorded,not recorded,not recorded,not recorded,1,227,50.44,6.5,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR609,2013-04-04,19:41:00,vulture bar,not recorded,168,37,NA,not recorded,not recorded,not recorded,not recorded,1,227,50.44,6.5,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR610,2013-04-11,19:45:00,vulture bar,not recorded,371,36,NA,not recorded,not recorded,not recorded,not recorded,1,896,52.07,7.3,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR611,2013-04-18,19:42:00,vulture bar,not recorded,206,36,NA,not recorded,not recorded,not recorded,not recorded,1,218,56.77,1,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR612,2013-12-09,16:20:00,clear creek road bridge,not recorded,497,34,NA,not recorded,not recorded,not recorded,not recorded,1,210,47.42,0.66,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR613,2013-12-10,16:30:00,clear creek road bridge,not recorded,507,34,NA,not recorded,not recorded,not recorded,not recorded,1,210,46.89,0.94,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR614,2013-12-19,17:25:00,clear creek road bridge,not recorded,360,NA,NA,not recorded,not recorded,not recorded,not recorded,1,212,46.12,1.3,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR615,2013-12-19,17:30:00,clear creek road bridge,not recorded,384,34,NA,not recorded,not recorded,not recorded,not recorded,1,212,46.17,1.3,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR616,2013-12-26,16:30:00,clear creek road bridge,not recorded,516,34,NA,not recorded,not recorded,not recorded,not recorded,1,212,46.03,0.58,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR617,2013-12-26,16:30:00,clear creek road bridge,not recorded,499,34,NA,not recorded,not recorded,not recorded,not recorded,1,212,46.03,0.58,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR618,2014-01-02,16:30:00,vulture bar,not recorded,528,36,NA,not recorded,not recorded,not recorded,not recorded,1,210,47.11,1.57,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR619,2014-01-02,16:50:00,clear creek road bridge,not recorded,513,36,NA,not recorded,not recorded,not recorded,not recorded,1,210,46.17,1.67,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR620,2014-01-08,16:30:00,clear creek road bridge,not recorded,495,37,NA,not recorded,not recorded,not recorded,not recorded,1,207,46.39,0.86,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR621,2014-01-08,16:45:00,vulture bar,not recorded,493,37,NA,not recorded,not recorded,not recorded,not recorded,1,207,46.53,0.93,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR622,2014-01-23,17:35:00,vulture bar,not recorded,530,37,NA,not recorded,not recorded,not recorded,not recorded,1,204,48.27,0.95,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR623,2014-01-23,17:40:00,vulture bar,not recorded,519,38,NA,not recorded,not recorded,not recorded,not recorded,1,204,48.27,0.95,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR624,2014-02-06,17:10:00,vulture bar,not recorded,518,37,NA,not recorded,not recorded,not recorded,not recorded,1,207,45.9,1,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR625,2014-02-06,17:15:00,vulture bar,not recorded,522,37,NA,not recorded,not recorded,not recorded,not recorded,1,207,45.9,1,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR626,2014-02-20,17:10:00,vulture bar,not recorded,509,37,NA,not recorded,not recorded,not recorded,not recorded,1,207,50.36,2.68,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR627,2014-02-20,17:15:00,vulture bar,not recorded,505,37,NA,not recorded,not recorded,not recorded,not recorded,1,207,50.36,2.68,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR628,2014-03-14,18:40:00,vulture bar,not recorded,524,36,NA,not recorded,not recorded,not recorded,not recorded,1,207,54.26,1.24,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR629,2014-03-14,18:45:00,vulture bar,not recorded,506,37,NA,not recorded,not recorded,not recorded,not recorded,1,207,54.26,1.24,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR630,2014-12-30,17:05:00,clear creek road bridge,not recorded,503,36,NA,not recorded,not recorded,not recorded,not recorded,1,242,47.51,1.25,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR631,2015-01-06,17:16:00,clear creek road bridge,not recorded,504,36,NA,not recorded,not recorded,not recorded,not recorded,1,221,49.12,1.52,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR632,2015-01-13,17:27:00,vulture bar,not recorded,519,36,NA,not recorded,not recorded,not recorded,not recorded,1,210,49.87,1.18,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR633,2015-01-13,17:47:00,clear creek road bridge,not recorded,532,36,NA,not recorded,not recorded,not recorded,not recorded,1,210,49.56,1.15,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR634,2015-01-27,17:15:00,vulture bar,not recorded,316,37,NA,not recorded,not recorded,not recorded,not recorded,1,199,50.22,1.31,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR635,2015-01-27,17:40:00,clear creek road bridge,not recorded,314,37,NA,not recorded,not recorded,not recorded,not recorded,1,201,50,1.59,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR636,2015-02-17,17:50:00,vulture bar,not recorded,521,37,NA,not recorded,not recorded,not recorded,not recorded,1,277,52.69,1.64,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR637,2015-03-03,18:10:00,vulture bar,not recorded,390,37,NA,not recorded,not recorded,not recorded,not recorded,1,227,52.2,1.67,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR638,2015-11-18,16:45:00,clear creek road bridge,not recorded,330,34,NA,not recorded,not recorded,not recorded,not recorded,1,223,55.21,1.56,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR639,2015-11-18,17:03:00,vulture bar,not recorded,149,33,NA,not recorded,not recorded,not recorded,not recorded,1,222,54.08,1.24,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR640,2015-11-24,17:24:00,vulture bar,not recorded,156,33,NA,not recorded,not recorded,not recorded,not recorded,1,242,54.08,1.46,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR641,2015-11-24,17:41:00,clear creek road bridge,not recorded,227,32,NA,not recorded,not recorded,not recorded,not recorded,1,242,53.69,1.16,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR642,2015-11-30,NA,clear creek road bridge,not recorded,NA,NA,NA,not recorded,not recorded,not recorded,not recorded,NA,NA,NA,2.16,NA,yes,NA,NA,NA
clear creek,lcc,CLR643,2015-12-01,18:28:00,vulture bar,not recorded,267,34,NA,not recorded,not recorded,not recorded,not recorded,1,242,51.06,1.19,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR644,2015-12-08,18:28:00,vulture bar,not recorded,510,35,NA,not recorded,not recorded,not recorded,not recorded,1,245,52.07,1.78,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR645,2015-12-08,18:45:00,clear creek road bridge,not recorded,479,33,NA,not recorded,not recorded,not recorded,not recorded,1,245,51.41,1.37,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR646,2015-12-15,16:50:00,vulture bar,not recorded,509,35,NA,not recorded,not recorded,not recorded,not recorded,1,251,49.12,1.68,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR647,2015-12-15,17:10:00,clear creek road bridge,not recorded,376,35.5,NA,not recorded,not recorded,not recorded,not recorded,1,251,49.12,1.69,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR648,2015-12-22,16:45:00,vulture bar,not recorded,519,35,NA,not recorded,not recorded,not recorded,not recorded,1,331,49.91,5.77,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR649,2015-12-22,17:05:00,clear creek road bridge,not recorded,NA,NA,NA,not recorded,not recorded,not recorded,not recorded,NA,NA,NA,6.77,NA,yes,NA,NA,NA
clear creek,lcc,CLR650,2015-12-29,16:55:00,vulture bar,not recorded,501,35,NA,not recorded,not recorded,not recorded,not recorded,1,224,47.15,1.55,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR651,2015-12-29,17:15:00,clear creek road bridge,not recorded,516,36,NA,not recorded,not recorded,not recorded,not recorded,1,225,47.2,1.61,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR652,2016-01-05,18:35:00,vulture bar,not recorded,462,36,NA,not recorded,not recorded,not recorded,not recorded,1,376,47.11,9,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR653,2016-01-05,18:55:00,clear creek road bridge,not recorded,465,35,NA,not recorded,not recorded,not recorded,not recorded,1,398,47.18,3.91,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR654,2016-01-12,17:15:00,clear creek road bridge,not recorded,502,36,NA,not recorded,not recorded,not recorded,not recorded,1,262,47.85,1.7,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR655,2016-01-12,17:35:00,vulture bar,not recorded,536,36,NA,not recorded,not recorded,not recorded,not recorded,1,262,47.78,2.4,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR656,2016-01-26,17:14:00,vulture bar,not recorded,502,37,NA,not recorded,not recorded,not recorded,not recorded,1,407,49.47,3.4,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR657,2016-01-26,17:33:00,clear creek road bridge,not recorded,511,37,NA,not recorded,not recorded,not recorded,not recorded,1,402,49.47,2.82,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR658,2016-02-02,17:05:00,vulture bar,not recorded,507,36,NA,not recorded,not recorded,not recorded,not recorded,1,332,47.83,2.43,TRUE,yes,NA,NA,NA
clear creek,ucc,CLR659,2016-02-02,17:28:00,clear creek road bridge,not recorded,498,36,NA,not recorded,not recorded,not recorded,not recorded,1,332,47.33,1.65,TRUE,yes,NA,NA,NA
clear creek,lcc,CLR660,2016-02-09,17:55:00,vulture bar,not recorded,506,36,NA,not recorded,not recorded,not recorded,not recorded,1,264,49.96,2.24,TRUE,yes,NA,NA,NA
