date,value,stream,site_group,gage_agency,gage_number,parameter,statistic
1969-04-24,14120,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-25,14120,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-26,14120,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-27,14002,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-28,13920,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-29,12020,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-04-30,11430,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-01,10160,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-02,9930,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-03,8040,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-04,8014,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-05,8073,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-06,8032,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-07,8061,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-08,8000,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-09,7961,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-10,7903,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-11,8053,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-12,8012,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-13,8072,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-14,10072,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-15,11082,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-16,11082,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-17,10973,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-18,10973,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-19,10973,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-20,10964,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-21,10964,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-22,10114,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-23,8819,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-24,8021,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-25,8012,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-26,6872,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-27,5962,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-28,5913,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-29,5971,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-30,6020,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-05-31,6060,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-01,6040,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-02,4900,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-03,4010,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-04,3951,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-05,3001,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-06,3010,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-07,1950,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
1969-06-08,1023,feather river,upper feather hfc,DWR Feather,FRB+ORF+TAO,flow,mean
