week,month,stream,fl_cutoff,date_for_plot
35,sep,deer creek,100,1972-08-26
35,sep,mill creek,100,1972-08-26
35,sep,feather river,145,1972-08-26
35,sep,yuba river,160,1972-08-26
36,sep,battle creek,130,1972-09-03
36,sep,butte creek,50,1972-09-03
36,sep,clear creek,110,1972-09-03
36,sep,deer creek,100,1972-09-03
36,sep,mill creek,100,1972-09-03
36,sep,feather river,145,1972-09-03
36,sep,yuba river,160,1972-09-03
37,sep,battle creek,130,1972-09-09
37,sep,butte creek,50,1972-09-09
37,sep,clear creek,110,1972-09-09
37,sep,deer creek,100,1972-09-09
37,sep,mill creek,100,1972-09-09
37,sep,feather river,145,1972-09-09
37,sep,yuba river,160,1972-09-09
38,sep,battle creek,130,1972-09-16
38,sep,butte creek,50,1972-09-16
38,sep,clear creek,110,1972-09-16
38,sep,deer creek,100,1972-09-16
38,sep,mill creek,100,1972-09-16
38,sep,feather river,145,1972-09-16
38,sep,yuba river,160,1972-09-16
39,sep,battle creek,130,1972-09-23
39,sep,butte creek,50,1972-09-23
39,sep,clear creek,110,1972-09-23
39,sep,deer creek,100,1972-09-23
39,sep,mill creek,100,1972-09-23
39,sep,feather river,145,1972-09-23
39,sep,yuba river,160,1972-09-23
40,oct,battle creek,75,1971-10-01
40,oct,butte creek,50,1971-10-01
40,oct,clear creek,50,1971-10-01
40,oct,deer creek,50,1971-10-01
40,oct,mill creek,50,1971-10-01
40,oct,feather river,50,1971-10-01
40,oct,yuba river,50,1971-10-01
41,oct,battle creek,75,1971-10-07
41,oct,butte creek,50,1971-10-07
41,oct,clear creek,50,1971-10-07
41,oct,deer creek,50,1971-10-07
41,oct,mill creek,50,1971-10-07
41,oct,feather river,50,1971-10-07
41,oct,yuba river,50,1971-10-07
42,oct,battle creek,75,1971-10-14
42,oct,butte creek,50,1971-10-14
42,oct,clear creek,50,1971-10-14
42,oct,deer creek,50,1971-10-14
42,oct,mill creek,50,1971-10-14
42,oct,feather river,50,1971-10-14
42,oct,yuba river,50,1971-10-14
43,oct,battle creek,75,1971-10-21
43,oct,butte creek,50,1971-10-21
43,oct,clear creek,50,1971-10-21
43,oct,deer creek,50,1971-10-21
43,oct,mill creek,50,1971-10-21
43,oct,feather river,50,1971-10-21
43,oct,yuba river,50,1971-10-21
44,nov,battle creek,75,1971-10-28
44,nov,butte creek,50,1971-10-28
44,nov,clear creek,50,1971-10-28
44,nov,deer creek,50,1971-10-28
44,nov,mill creek,50,1971-10-28
44,nov,feather river,50,1971-10-28
44,nov,yuba river,50,1971-10-28
45,nov,battle creek,75,1971-11-04
45,nov,butte creek,50,1971-11-04
45,nov,clear creek,50,1971-11-04
45,nov,deer creek,50,1971-11-04
45,nov,mill creek,50,1971-11-04
45,nov,feather river,50,1971-11-04
45,nov,yuba river,50,1971-11-04
46,nov,battle creek,75,1971-11-11
46,nov,butte creek,50,1971-11-11
46,nov,clear creek,50,1971-11-11
46,nov,deer creek,50,1971-11-11
46,nov,mill creek,50,1971-11-11
46,nov,feather river,50,1971-11-11
46,nov,yuba river,50,1971-11-11
47,nov,battle creek,75,1971-11-18
47,nov,butte creek,50,1971-11-18
47,nov,clear creek,50,1971-11-18
47,nov,deer creek,50,1971-11-18
47,nov,mill creek,50,1971-11-18
47,nov,feather river,50,1971-11-18
47,nov,yuba river,50,1971-11-18
48,dec,battle creek,75,1971-11-25
48,dec,butte creek,50,1971-11-25
48,dec,clear creek,50,1971-11-25
48,dec,deer creek,50,1971-11-25
48,dec,mill creek,50,1971-11-25
48,dec,feather river,50,1971-11-25
48,dec,yuba river,60,1971-11-25
49,dec,battle creek,75,1971-12-02
49,dec,butte creek,50,1971-12-02
49,dec,clear creek,60,1971-12-02
49,dec,deer creek,50,1971-12-02
49,dec,mill creek,50,1971-12-02
49,dec,feather river,50,1971-12-02
49,dec,yuba river,60,1971-12-02
50,dec,battle creek,75,1971-12-09
50,dec,butte creek,50,1971-12-09
50,dec,clear creek,70,1971-12-09
50,dec,deer creek,50,1971-12-09
50,dec,mill creek,50,1971-12-09
50,dec,feather river,60,1971-12-09
50,dec,yuba river,70,1971-12-09
51,dec,battle creek,75,1971-12-16
51,dec,butte creek,50,1971-12-16
51,dec,clear creek,75,1971-12-16
51,dec,deer creek,50,1971-12-16
51,dec,mill creek,50,1971-12-16
51,dec,feather river,60,1971-12-16
51,dec,yuba river,70,1971-12-16
52,dec,battle creek,75,1971-12-23
52,dec,butte creek,60,1971-12-23
52,dec,clear creek,75,1971-12-23
52,dec,deer creek,50,1971-12-23
52,dec,mill creek,50,1971-12-23
52,dec,feather river,60,1971-12-23
52,dec,yuba river,70,1971-12-23
