"FishID","ch","StudyID","fish_length","fish_weight","fish_type","fish_release_date","release_location","fish_k","year","rl","WY2","WY3","firstCap","length.z","weight.z","k.z","lastCap","dist_rlwoodson","dist_woodsonbutte","dist_buttesac","dist_sacdelta","dist_rlwoodson.z","dist_woodsonbutte.z","dist_buttesac.z","dist_sacdelta.z"
"CFC2013-046",11100,"ColemanFall_2013",85,7.42,"CNFH Fall Chinook","4/10/2013 9:20:00","BattleCk_CNFH_Rel",0.00120822308162019,2013,"1S",0,1,1,-0.306375807040202,-0.107574642473016,0.651414974792562,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-047",11110,"ColemanFall_2013",83,6.82,"CNFH Fall Chinook","4/10/2013 9:20:00","BattleCk_CNFH_Rel",0.00119275184640434,2013,"1S",0,1,1,-0.630231164860216,-0.416765560883292,0.491410534211634,4,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-048",11100,"ColemanFall_2013",83,6.59,"CNFH Fall Chinook","4/10/2013 9:20:00","BattleCk_CNFH_Rel",0.00115252707739071,2013,"1S",0,1,1,-0.630231164860216,-0.535288746273897,0.0754035655547791,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-049",10000,"ColemanFall_2013",85,6.05,"CNFH Fall Chinook","4/10/2013 9:20:00","BattleCk_CNFH_Rel",0.000985141461428862,2013,"1S",0,1,1,-0.306375807040202,-0.813560572843145,-1.65570849302419,1,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-050",10100,"ColemanFall_2013",85,6.45,"CNFH Fall Chinook","4/10/2013 9:20:00","BattleCk_CNFH_Rel",0.00105027478119275,2013,"1S",0,1,1,-0.306375807040202,-0.607433293902961,-0.98209580169087,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-051",11100,"ColemanFall_2013",82,6.11,"CNFH Fall Chinook","4/10/2013 10:20:00","BattleCk_CNFH_Rel",0.00110815281264056,2013,"1S",0,1,1,-0.792158843770223,-0.782641481002117,-0.383517736363238,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-052",11100,"ColemanFall_2013",87,6.58,"CNFH Fall Chinook","4/10/2013 10:20:00","BattleCk_CNFH_Rel",0.000999236146228643,2013,"1S",0,1,1,0.0174795507798112,-0.540441928247402,-1.50994041923503,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-053",11100,"ColemanFall_2013",80,6.12,"CNFH Fall Chinook","4/10/2013 10:20:00","BattleCk_CNFH_Rel",0.0011953125,2013,"1S",0,1,1,-1.11601420159024,-0.777488299028613,0.517892966957235,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-054",11100,"ColemanFall_2013",85,6.59,"CNFH Fall Chinook","4/10/2013 10:20:00","BattleCk_CNFH_Rel",0.00107307144311012,2013,"1S",0,1,1,-0.306375807040202,-0.535288746273897,-0.746331359724109,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-055",11100,"ColemanFall_2013",87,6.78,"CNFH Fall Chinook","4/10/2013 10:20:00","BattleCk_CNFH_Rel",0.0010296080655669,2013,"1S",0,1,1,0.0174795507798112,-0.43737828877731,-1.19583221162998,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-056",11100,"ColemanFall_2013",90,7.5,"CNFH Fall Chinook","4/10/2013 10:20:00","BattleCk_CNFH_Rel",0.00102880658436214,2013,"1S",0,1,1,0.503262587509831,-0.0663491866849798,-1.20412117821956,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-057",11100,"ColemanFall_2013",81,6.05,"CNFH Fall Chinook","4/10/2013 10:20:00","BattleCk_CNFH_Rel",0.00113841423601115,2013,"1S",0,1,1,-0.954086522680229,-0.813560572843145,-0.0705522846691553,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-058",10000,"ColemanFall_2013",86,6.2,"CNFH Fall Chinook","4/10/2013 10:20:00","BattleCk_CNFH_Rel",0.000974756939640535,2013,"1S",0,1,1,-0.144448128130196,-0.736262843240576,-1.7631058388896,1,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-059",11100,"ColemanFall_2013",85,6.48,"CNFH Fall Chinook","4/10/2013 10:20:00","BattleCk_CNFH_Rel",0.00105515978017505,2013,"1S",0,1,1,-0.306375807040202,-0.591973747982448,-0.931574849840783,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-060",10000,"ColemanFall_2013",85,6.02,"CNFH Fall Chinook","4/10/2013 10:20:00","BattleCk_CNFH_Rel",0.00098025646244657,2013,"1S",0,1,1,-0.306375807040202,-0.829020118763659,-1.7062294448742,1,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-061",11100,"ColemanFall_2013",80,6.03,"CNFH Fall Chinook","4/10/2013 10:20:00","BattleCk_CNFH_Rel",0.001177734375,2013,"1S",0,1,1,-1.11601420159024,-0.823866936790154,0.336098946127844,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-062",10100,"ColemanFall_2013",83,6.35,"CNFH Fall Chinook","4/10/2013 10:20:00","BattleCk_CNFH_Rel",0.00111055340537648,2013,"1S",0,1,1,-0.630231164860216,-0.658965113638007,-0.35869066260897,3,91.8,88,170,110,0.918,0.88,1.7,1.1
"CFC2013-063",11100,"ColemanFall_2013",84,6.53,"CNFH Fall Chinook","4/10/2013 10:20:00","BattleCk_CNFH_Rel",0.00110173037468956,2013,"1S",0,1,1,-0.468303485950209,-0.566207838114925,-0.449938974045844,3,91.8,88,170,110,0.918,0.88,1.7,1.1
