year,run_year,week,stream,site,number_released,number_recaptured,standardized_log_efficiency_flow,log_flow_cfs
2006,2006,5,feather river,eye riffle,2584,45,-0.2308002710855685,0
2006,2006,5,feather river,herringer riffle,1017,3,-0.22674356114738392,0
2006,2006,6,feather river,eye riffle,2019,71,-0.2308002710855685,0
2006,2006,6,feather river,herringer riffle,3197,6,-0.22674356114738392,0
2006,2006,7,feather river,eye riffle,1010,26,-0.2308002710855685,0
2006,2006,7,feather river,herringer riffle,1175,11,-0.22674356114738392,0
2006,2006,8,feather river,eye riffle,2039,40,-0.2308002710855685,0
2006,2006,8,feather river,herringer riffle,1339,14,-0.22674356114738392,0
2006,2006,10,feather river,eye riffle,686,0,-0.2308002710855685,0
2006,2006,12,feather river,eye riffle,1063,24,-0.2308002710855685,0
2006,2006,13,feather river,eye riffle,594,1,-0.2308002710855685,0
2006,2007,51,feather river,steep riffle,997,93,NA,0
2006,2007,52,feather river,steep riffle,989,86,NA,0
2006,2007,53,feather river,steep riffle,996,66,NA,0
2007,2007,1,feather river,steep riffle,1000,44,NA,0
2007,2007,2,feather river,steep riffle,998,131,NA,0
2007,2007,3,feather river,steep riffle,998,130,NA,0
2007,2007,4,feather river,steep riffle,955,85,NA,0
2007,2007,5,feather river,steep riffle,998,15,NA,0
2007,2007,6,feather river,steep riffle,994,100,NA,0
2007,2007,7,feather river,steep riffle,996,97,NA,0
2007,2007,9,feather river,steep riffle,2107,254,NA,0
2007,2007,10,feather river,steep riffle,991,109,NA,0
2007,2007,11,feather river,steep riffle,1095,99,NA,0
2007,2007,12,feather river,steep riffle,988,98,NA,0
2007,2007,13,feather river,steep riffle,993,143,NA,0
2007,2007,14,feather river,steep riffle,992,39,NA,0
2007,2008,49,feather river,steep riffle,1021,100,NA,0
2007,2008,50,feather river,steep riffle,3003,375,NA,0
2007,2008,51,feather river,steep riffle,2264,247,NA,0
2007,2008,52,feather river,steep riffle,997,140,NA,0
2008,2008,1,feather river,steep riffle,991,15,NA,0
2008,2008,2,feather river,steep riffle,2026,171,NA,0
2008,2008,3,feather river,steep riffle,1950,218,NA,0
2008,2008,4,feather river,herringer riffle,990,49,-0.22674356114738392,0
2008,2008,4,feather river,steep riffle,1886,164,NA,0
2008,2008,5,feather river,herringer riffle,2000,89,-0.22674356114738392,0
2008,2008,5,feather river,steep riffle,1903,160,NA,0
2008,2008,6,feather river,herringer riffle,1206,27,-0.22674356114738392,0
2008,2008,6,feather river,steep riffle,1930,312,NA,0
2008,2008,7,feather river,herringer riffle,1995,146,-0.22674356114738392,0
2008,2008,7,feather river,steep riffle,1856,379,NA,0
2008,2008,8,feather river,herringer riffle,2054,101,-0.22674356114738392,0
2008,2008,8,feather river,steep riffle,1734,360,NA,0
2008,2008,9,feather river,herringer riffle,2037,76,-0.22674356114738392,0
2008,2008,9,feather river,steep riffle,1906,388,NA,0
2008,2008,10,feather river,herringer riffle,2087,41,-0.22674356114738392,0
2008,2008,10,feather river,steep riffle,2969,651,NA,0
2008,2008,11,feather river,herringer riffle,2174,172,-0.22674356114738392,0
2008,2008,11,feather river,steep riffle,1019,213,NA,0
2008,2008,12,feather river,herringer riffle,1997,106,-0.22674356114738392,0
2008,2008,12,feather river,steep riffle,990,236,NA,0
2008,2008,13,feather river,herringer riffle,1073,16,-0.22674356114738392,0
2008,2008,13,feather river,steep riffle,2041,322,NA,0
2008,2008,14,feather river,steep riffle,520,75,NA,0
2008,2008,15,feather river,herringer riffle,261,6,-0.22674356114738392,0
2008,2008,15,feather river,steep riffle,1892,205,NA,0
2008,2008,16,feather river,steep riffle,749,77,NA,0
2008,2009,50,feather river,steep riffle,995,177,NA,0
2008,2009,51,feather river,steep riffle,1056,222,NA,0
2008,2009,53,feather river,steep riffle,1008,258,NA,0
2009,2009,1,feather river,steep riffle,998,199,NA,0
2009,2009,2,feather river,steep riffle,1000,222,NA,0
2009,2009,3,feather river,steep riffle,1032,207,NA,0
2009,2009,4,feather river,steep riffle,1002,286,NA,0
2009,2009,5,feather river,steep riffle,995,243,NA,0
2009,2009,6,feather river,steep riffle,1000,253,NA,0
2009,2009,7,feather river,steep riffle,996,260,NA,0
2009,2009,9,feather river,steep riffle,1990,391,NA,0
2009,2009,11,feather river,steep riffle,1542,361,NA,0
2009,2009,12,feather river,steep riffle,603,130,NA,0
2009,2010,50,feather river,steep riffle,998,204,NA,0
2009,2010,52,feather river,steep riffle,999,202,NA,0
2009,2010,53,feather river,steep riffle,493,104,NA,0
2010,2010,1,feather river,steep riffle,999,354,NA,0
2010,2010,2,feather river,steep riffle,996,246,NA,0
2010,2010,3,feather river,steep riffle,1815,361,NA,0
2010,2010,4,feather river,steep riffle,1681,443,NA,0
2010,2010,5,feather river,steep riffle,1996,489,NA,0
2010,2010,6,feather river,steep riffle,1983,516,NA,0
2010,2010,7,feather river,steep riffle,1994,634,NA,0
2010,2010,8,feather river,steep riffle,2044,612,NA,0
2010,2010,9,feather river,steep riffle,1004,256,NA,0
2010,2010,10,feather river,steep riffle,1014,277,NA,0
2010,2010,11,feather river,steep riffle,999,220,NA,0
2010,2010,12,feather river,steep riffle,598,193,NA,0
2010,2010,13,feather river,steep riffle,100,21,NA,0
2010,2010,14,feather river,steep riffle,178,16,NA,0
2010,2010,15,feather river,steep riffle,157,15,NA,0
2010,2010,16,feather river,steep riffle,107,11,NA,0
2010,2011,49,feather river,steep riffle,995,225,NA,0
2010,2011,52,feather river,steep riffle,999,189,NA,0
2011,2011,1,feather river,steep riffle,1985,552,NA,0
2011,2011,2,feather river,steep riffle,1987,471,NA,0
2011,2011,4,feather river,steep riffle,991,165,NA,0
2011,2011,5,feather river,steep riffle,1230,46,NA,0
2011,2011,6,feather river,steep riffle,1490,77,NA,0
2011,2011,7,feather river,steep riffle,496,76,NA,0
2011,2011,8,feather river,steep riffle,248,77,NA,0
2011,2011,9,feather river,steep riffle,960,128,NA,0
2011,2011,10,feather river,steep riffle,723,148,NA,0
2011,2011,11,feather river,steep riffle,456,0,NA,0
2011,2011,14,feather river,steep riffle,419,46,NA,0
2011,2011,16,feather river,steep riffle,147,0,NA,0
2011,2012,49,feather river,herringer riffle,195,0,-0.22674356114738392,0
2011,2012,49,feather river,steep riffle,1286,79,NA,0
2011,2012,50,feather river,herringer riffle,1017,6,-0.22674356114738392,0
2011,2012,50,feather river,steep riffle,531,66,NA,0
2011,2012,51,feather river,herringer riffle,992,5,-0.22674356114738392,0
2011,2012,51,feather river,steep riffle,505,82,NA,0
2011,2012,52,feather river,herringer riffle,995,19,-0.22674356114738392,0
2011,2012,52,feather river,steep riffle,626,88,NA,0
2012,2012,1,feather river,herringer riffle,2191,99,-0.22674356114738392,0
2012,2012,1,feather river,steep riffle,908,74,NA,0
2012,2012,2,feather river,herringer riffle,1506,56,-0.22674356114738392,0
2012,2012,2,feather river,steep riffle,596,17,NA,0
2012,2012,3,feather river,herringer riffle,2492,72,-0.22674356114738392,0
2012,2012,3,feather river,steep riffle,887,96,NA,0
2012,2012,4,feather river,herringer riffle,2498,61,-0.22674356114738392,0
2012,2012,4,feather river,steep riffle,889,96,NA,0
2012,2012,5,feather river,herringer riffle,2488,50,-0.22674356114738392,0
2012,2012,5,feather river,steep riffle,895,116,NA,0
2012,2012,6,feather river,herringer riffle,2487,64,-0.22674356114738392,0
2012,2012,6,feather river,steep riffle,896,113,NA,0
2012,2012,7,feather river,herringer riffle,1086,23,-0.22674356114738392,0
2012,2012,7,feather river,steep riffle,818,115,NA,0
2012,2012,8,feather river,herringer riffle,1155,33,-0.22674356114738392,0
2012,2012,8,feather river,steep riffle,586,100,NA,0
2012,2012,9,feather river,herringer riffle,1014,54,-0.22674356114738392,0
2012,2012,9,feather river,steep riffle,893,126,NA,0
2012,2012,10,feather river,herringer riffle,950,35,-0.22674356114738392,0
2012,2012,10,feather river,steep riffle,785,101,NA,0
2012,2012,11,feather river,herringer riffle,488,5,-0.22674356114738392,0
2012,2012,11,feather river,steep riffle,246,13,NA,0
2012,2012,12,feather river,herringer riffle,453,10,-0.22674356114738392,0
2012,2012,13,feather river,herringer riffle,556,7,-0.22674356114738392,0
2012,2012,14,feather river,herringer riffle,123,0,-0.22674356114738392,0
2012,2013,50,feather river,herringer riffle,360,19,-0.22674356114738392,0
2012,2013,51,feather river,herringer riffle,566,56,-0.22674356114738392,0
2012,2013,52,feather river,gateway riffle,504,20,NA,0
2012,2013,52,feather river,herringer riffle,1004,12,-0.22674356114738392,0
2013,2013,1,feather river,gateway riffle,517,1,NA,0
2013,2013,1,feather river,herringer riffle,990,27,-0.22674356114738392,0
2013,2013,2,feather river,gateway riffle,1603,7,NA,0
2013,2013,2,feather river,herringer riffle,1938,85,-0.22674356114738392,0
2013,2013,3,feather river,gateway riffle,1013,5,NA,0
2013,2013,3,feather river,herringer riffle,1406,105,-0.22674356114738392,0
2013,2013,4,feather river,gateway riffle,1528,19,NA,0
2013,2013,4,feather river,herringer riffle,1770,41,-0.22674356114738392,0
2013,2013,5,feather river,gateway riffle,974,14,NA,0
2013,2013,5,feather river,herringer riffle,993,50,-0.22674356114738392,0
2013,2013,6,feather river,gateway riffle,970,16,NA,0
2013,2013,6,feather river,herringer riffle,1383,64,-0.22674356114738392,0
2013,2013,7,feather river,gateway riffle,1788,20,NA,0
2013,2013,7,feather river,herringer riffle,2398,95,-0.22674356114738392,0
2013,2013,8,feather river,gateway riffle,1518,62,NA,0
2013,2013,8,feather river,herringer riffle,1456,62,-0.22674356114738392,0
2013,2013,9,feather river,gateway riffle,963,25,NA,0
2013,2013,9,feather river,herringer riffle,1440,48,-0.22674356114738392,0
2013,2013,10,feather river,gateway riffle,1163,31,NA,0
2013,2013,10,feather river,herringer riffle,1429,51,-0.22674356114738392,0
2013,2013,11,feather river,gateway riffle,147,3,NA,0
2013,2013,11,feather river,herringer riffle,435,4,-0.22674356114738392,0
2013,2013,12,feather river,gateway riffle,446,6,NA,0
2013,2013,12,feather river,herringer riffle,635,24,-0.22674356114738392,0
2013,2013,13,feather river,gateway riffle,236,1,NA,0
2013,2013,13,feather river,herringer riffle,383,9,-0.22674356114738392,0
2013,2013,15,feather river,gateway riffle,43,0,NA,0
2013,2013,15,feather river,herringer riffle,56,0,-0.22674356114738392,0
2013,2013,16,feather river,gateway riffle,42,0,NA,0
2013,2013,17,feather river,herringer riffle,154,1,-0.22674356114738392,0
2014,2014,2,feather river,gateway riffle,1000,23,NA,0
2014,2014,2,feather river,herringer riffle,1084,15,-0.22674356114738392,0
2014,2014,3,feather river,gateway riffle,871,19,NA,0
2014,2014,3,feather river,herringer riffle,880,11,-0.22674356114738392,0
2014,2014,4,feather river,gateway riffle,999,18,NA,0
2014,2014,4,feather river,herringer riffle,996,18,-0.22674356114738392,0
2014,2014,5,feather river,gateway riffle,988,23,NA,0
2014,2014,5,feather river,herringer riffle,1043,8,-0.22674356114738392,0
2014,2014,6,feather river,gateway riffle,1138,31,NA,0
2014,2014,6,feather river,herringer riffle,1058,20,-0.22674356114738392,0
2014,2014,7,feather river,gateway riffle,1048,40,NA,0
2014,2014,7,feather river,herringer riffle,992,4,-0.22674356114738392,0
2014,2014,8,feather river,gateway riffle,864,31,NA,0
2014,2014,8,feather river,herringer riffle,938,18,-0.22674356114738392,0
2014,2014,9,feather river,gateway riffle,899,52,NA,0
2014,2014,9,feather river,herringer riffle,476,17,-0.22674356114738392,0
2014,2014,10,feather river,gateway riffle,926,31,NA,0
2014,2014,10,feather river,herringer riffle,937,26,-0.22674356114738392,0
2014,2014,11,feather river,gateway riffle,925,36,NA,0
2014,2014,11,feather river,herringer riffle,926,17,-0.22674356114738392,0
2014,2014,12,feather river,gateway riffle,732,19,NA,0
2014,2014,12,feather river,herringer riffle,724,2,-0.22674356114738392,0
2015,2015,1,feather river,gateway riffle,998,10,NA,0
2015,2015,1,feather river,herringer riffle,724,7,-0.22674356114738392,0
2015,2015,2,feather river,gateway riffle,1479,13,NA,0
2015,2015,2,feather river,herringer riffle,1482,6,-0.22674356114738392,0
2015,2015,3,feather river,gateway riffle,879,11,NA,0
2015,2015,3,feather river,herringer riffle,981,8,-0.22674356114738392,0
2015,2015,4,feather river,gateway riffle,2018,17,NA,0
2015,2015,4,feather river,herringer riffle,2032,67,-0.22674356114738392,0
2015,2015,5,feather river,gateway riffle,1276,17,NA,0
2015,2015,5,feather river,herringer riffle,1790,45,-0.22674356114738392,0
2015,2015,6,feather river,gateway riffle,1983,46,NA,0
2015,2015,6,feather river,herringer riffle,995,11,-0.22674356114738392,0
