year,week,stream,site,count,mean_fork_length,hours_fished,flow_cfs,run_year
1999,5,feather river,live oak,81793,37.405797101449274,168,9933.714285714286,1999
1999,6,feather river,eye riffle,22900,36.64705882352941,168,732.4285714285714,1999
1999,6,feather river,live oak,21759,38.388888888888886,168,15475.285714285714,1999
1999,7,feather river,eye riffle,6323,36.09803921568628,168,2016.2857142857142,1999
1999,7,feather river,live oak,NA,NA,NA,19116.285714285714,1999
1999,8,feather river,eye riffle,4725,36.765625,168,4685.428571428572,1999
1999,8,feather river,live oak,8315,38.785714285714285,168,20214,1999
1999,9,feather river,eye riffle,24821,37.953125,168,856.2857142857143,1999
1999,9,feather river,live oak,67002,39.044117647058826,168,14656.285714285714,1999
1999,10,feather river,eye riffle,6476,37.285714285714285,168,1953.5714285714287,1999
1999,10,feather river,live oak,17231,38.44285714285714,168,17439.285714285714,1999
1999,11,feather river,eye riffle,7487,37.80701754385965,168,743.1428571428571,1999
1999,11,feather river,live oak,44748,40.148148148148145,168,7117.428571428572,1999
1999,12,feather river,eye riffle,6950,36.964285714285715,168,728.8571428571429,1999
1999,12,feather river,live oak,29519,38.682539682539684,168,4993.142857142857,1999
1999,13,feather river,eye riffle,4829,38.228070175438596,168,728.4285714285714,1999
1999,13,feather river,live oak,15036,38.60294117647059,168,3261.285714285714,1999
1999,14,feather river,eye riffle,1598,37.25,168,729.5714285714286,1999
1999,14,feather river,live oak,1677,44.78378378378378,168,3121,1999
1999,15,feather river,eye riffle,428,39.621212121212125,168,726.8571428571429,1999
1999,15,feather river,live oak,799,43.72043010752688,168,4016.8571428571427,1999
1999,16,feather river,eye riffle,75,45.25,168,719.2857142857143,1999
1999,16,feather river,live oak,466,50.445205479452056,168,4439.285714285715,1999
1999,17,feather river,eye riffle,68,45.65384615384615,168,723.2857142857143,1999
1999,17,feather river,live oak,1063,60.424107142857146,168,5123.285714285715,1999
1999,18,feather river,eye riffle,60,57.517857142857146,168,725.7142857142857,1999
1999,18,feather river,live oak,1559,63.40845070422535,168,4735.714285714285,1999
1999,19,feather river,eye riffle,17,60.2,168,723,1999
1999,19,feather river,live oak,998,68.87078651685393,168,3744.4285714285716,1999
1999,20,feather river,eye riffle,11,73.44444444444444,168,725.5714285714286,1999
1999,20,feather river,live oak,146,70.89830508474576,168,2121.285714285714,1999
1999,21,feather river,eye riffle,30,77.03846153846153,168,741.1428571428571,1999
1999,21,feather river,live oak,95,71.5079365079365,168,2001.142857142857,1999
1999,22,feather river,eye riffle,14,76,168,738.1428571428571,1999
1999,22,feather river,live oak,4,73.5,168,1998.142857142857,1999
1999,23,feather river,eye riffle,6,84.16666666666667,168,725,1999
1999,23,feather river,live oak,13,81.25,168,1985,1999
1999,24,feather river,eye riffle,12,80.45454545454545,168,702.4285714285714,1999
1999,24,feather river,live oak,1,82,168,1962.4285714285713,1999
1999,25,feather river,eye riffle,3,86.66666666666667,168,762.4285714285714,1999
1999,25,feather river,live oak,1,52,168,2021,1999
1999,26,feather river,eye riffle,2,75,168,731.8571428571429,1999
1999,26,feather river,live oak,14,71.35714285714286,168,5609,1999
1999,27,feather river,eye riffle,0,NA,168,737.7142857142857,1999
1999,27,feather river,live oak,0,NA,168,8276.285714285714,1999
1999,28,feather river,eye riffle,1,89,168,731.2857142857143,1999
1999,28,feather river,live oak,0,NA,168,8699.857142857143,1999
1999,29,feather river,eye riffle,0,NA,168,729.4285714285714,1999
1999,29,feather river,live oak,1,109,168,9416.57142857143,1999
1999,30,feather river,eye riffle,0,NA,168,726.1428571428571,1999
1999,30,feather river,live oak,0,NA,168,9626.142857142857,1999
1999,31,feather river,eye riffle,NA,NA,NA,723.1428571428571,1999
1999,31,feather river,live oak,NA,NA,NA,8258.857142857143,1999
1999,32,feather river,eye riffle,2,93,168,728.5714285714286,1999
1999,32,feather river,live oak,0,NA,168,5105.714285714285,1999
1999,33,feather river,eye riffle,1,79,168,715.8571428571429,1999
1999,33,feather river,live oak,0,NA,168,3718.714285714286,1999
1999,34,feather river,eye riffle,0,NA,168,739.4285714285714,1999
1999,34,feather river,live oak,0,NA,168,4530.857142857143,1999
1999,35,feather river,eye riffle,0,NA,168,745.1428571428571,1999
1999,35,feather river,live oak,0,NA,168,4862.285714285715,1999
1999,36,feather river,live oak,0,NA,168,3512.714285714286,1999
1999,36,feather river,eye riffle,NA,NA,NA,765.5714285714286,1999
1999,37,feather river,eye riffle,NA,NA,NA,767.7142857142857,1999
1999,37,feather river,live oak,NA,NA,NA,3153.4285714285716,1999
1999,38,feather river,eye riffle,2,79.5,168,766.1428571428571,1999
1999,38,feather river,live oak,0,NA,168,3070.4285714285716,1999
1999,39,feather river,eye riffle,2,NA,168,738.4285714285714,1999
1999,39,feather river,live oak,0,NA,168,3375.5714285714284,1999
1999,40,feather river,eye riffle,2,77.5,168,739.8571428571429,1999
1999,40,feather river,live oak,NA,NA,NA,3815.5714285714284,1999
1999,41,feather river,eye riffle,8,NA,168,736.5714285714286,1999
1999,41,feather river,live oak,NA,NA,NA,3986.5714285714284,1999
1999,42,feather river,eye riffle,1,NA,168,744.2857142857143,1999
1999,42,feather river,live oak,0,NA,168,2344.285714285714,1999
1999,43,feather river,live oak,0,NA,168,2437.1428571428573,1999
1999,43,feather river,eye riffle,NA,NA,NA,744.2857142857143,1999
1999,44,feather river,eye riffle,2,103,168,736.2857142857143,1999
1999,44,feather river,live oak,0,NA,168,2429.1428571428573,1999
1999,45,feather river,eye riffle,1,NA,168,736.1428571428571,2000
1999,45,feather river,live oak,NA,NA,NA,2427.5714285714284,2000
1999,46,feather river,eye riffle,0,NA,168,738,2000
1999,46,feather river,live oak,5,34,168,2429.4285714285716,2000
1999,47,feather river,eye riffle,5,32.5,168,743,2000
1999,47,feather river,live oak,4,33.25,168,2443,2000
1999,48,feather river,eye riffle,152,31.886363636363637,168,737.7142857142857,2000
1999,48,feather river,live oak,15,32.75,168,2350.5714285714284,2000
1999,49,feather river,eye riffle,726,32.80612244897959,168,721.8571428571429,2000
1999,49,feather river,live oak,65,33.225,168,2294.714285714286,2000
1999,50,feather river,eye riffle,1405,33.72727272727273,168,719.5714285714286,2000
1999,50,feather river,live oak,712,34.61538461538461,168,3565.285714285714,2000
1999,51,feather river,eye riffle,8440,35.79746835443038,168,716.1428571428571,2000
1999,51,feather river,live oak,7755,36.27272727272727,168,3559,2000
1999,52,feather river,eye riffle,12055,35.464285714285715,168,717.8571428571429,2000
