week,year,stream,gage_number,gage_agency,site_group,parameter,statistic,value
20,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,8.693211973608035
20,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,7.54332896778026
21,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,18.713898257330708
21,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,16.865117231894345
21,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,14.564604785212826
21,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,11.489273704816355
21,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,9.953338855399306
21,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,8.34781005558683
22,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,18.379728593388656
22,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,16.29226792619078
22,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,14.194056297968444
22,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,11.261973272409648
22,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,9.604159957830069
22,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,8.152828395574051
23,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,17.37694608456654
23,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,15.520585644424093
23,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,13.46186393625426
23,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,10.583116245533637
23,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,9.132367286595272
23,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,7.752281261860796
24,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,18.711983638359
24,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,17.35858617348592
24,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,15.28896108768538
24,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,11.499928651020705
24,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,10.26988039472098
24,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,8.757670945345254
25,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,20.715269347703583
25,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,18.898337238453063
25,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,17.84718204729773
25,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,12.869819786149131
25,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,11.223472842348345
25,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,10.164031115090472
26,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,21.716501926881936
26,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,19.61790227715982
26,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,18.210250659811464
26,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,13.557302245666763
26,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,11.671283473605266
26,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,10.368326531148425
27,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,21.382423435271868
27,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,19.442718923582504
27,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,17.841483095122
27,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,13.330001813260058
27,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,11.567332123367153
27,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,10.171651460945611
28,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,22.383473669786248
28,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,20.73392876847074
28,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,18.572250718792247
28,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,14.01900640794974
28,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,12.367657353912566
28,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,10.573892004848895
29,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,21.381147022624063
29,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,19.514872290562018
29,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,18.20170223154787
29,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,13.337105110729624
29,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,11.619983691930255
29,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,10.3780636397411
30,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,21.046247980026124
30,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,19.3645430589926
30,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,18.200633678014917
30,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,13.114371083839067
30,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,11.53135906340034
30,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,10.379333697383624
31,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,21.379505920648313
31,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,19.73615038958888
31,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,18.564058475039637
31,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,13.346745300152609
31,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,11.764595590742525
31,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,10.58278240834656
32,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,20.71071073110428
32,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,19.039030473845862
32,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,18.19422235681722
32,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,12.8951887056833
32,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,11.338783084632313
32,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,10.38568398559624
33,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,20.71025486944435
33,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,18.93840948629222
33,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,17.45989288803714
33,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,12.897725597636716
33,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,11.28081189951879
33,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,9.988100319715542
34,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,21.71166979328667
34,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,19.63312040299108
34,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,17.459536703526158
34,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,13.58419330037298
34,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,11.713295809067514
34,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,9.99021708245308
35,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,21.37722661234866
35,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,18.960854609255954
35,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,16.357152039078578
35,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,13.35942975991969
35,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,11.302810024665495
35,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,9.39426493617954
36,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,19.706287120306413
36,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,17.91577698540247
36,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,16.35643967005661
36,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,12.225464489839585
36,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,10.662423414640553
36,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,9.394688288727046
37,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,20.039909750256548
37,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,18.635342024109214
37,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,17.815837810331214
37,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,12.45631657098107
37,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,11.11023404589747
37,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,10.199592729081122
38,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,20.039089199268673
38,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,18.55957515856347
38,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,17.44849498368568
38,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,12.46088297649722
38,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,11.067589582492143
38,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,10.002070953783296
39,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,20.038815682272716
39,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,18.06128821888358
39,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,16.71309696137265
39,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,12.461897733278589
39,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,10.764390850047493
39,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,9.60575734554512
40,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,18.368240879558417
40,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,16.867085862982748
40,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,15.246931315389368
40,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,11.32641032802643
40,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,10.032043909773376
40,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,8.807626545951168
41,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,17.365549543068283
41,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,16.244528313263405
41,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,15.24479420832347
41,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,10.6480606795411
41,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,9.652211568787752
41,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,8.808049898498677
42,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,max,16.363040551242122
42,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,mean,14.702368249252103
42,1999,feather river,interpolated,interpolated,upper feather hfc,temperature,min,13.778272377829204
42,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,max,9.966159382320985
42,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,mean,8.705290524598901
42,1999,feather river,interpolated,interpolated,upper feather lfc,temperature,min,8.010342451452232
