stream,site,release_id,date_released,time_released,site_released,subsite_released,number_released,median_fork_length_released,origin_released,run_released,lifestage_released,source_released,days_held_post_mark,flow_at_release,temperature_at_release,turbidity_at_release,include,week_released,year_released,night_release
feather river,upper feather lfc,470,2011-01-03,13:00:00,upper feather lfc,not recorded,990,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,471,2011-01-06,11:15:00,upper feather lfc,not recorded,995,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,472,2011-01-10,13:00:00,upper feather lfc,not recorded,990,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,473,2011-01-12,12:00:00,upper feather lfc,not recorded,997,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,474,2011-01-26,12:00:00,upper feather lfc,not recorded,492,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,475,2011-01-27,12:00:00,upper feather lfc,not recorded,499,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,476,2011-02-01,12:00:00,upper feather lfc,not recorded,491,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,477,2011-02-02,15:15:00,upper feather lfc,not recorded,245,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,478,2011-02-03,12:00:00,upper feather lfc,not recorded,494,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,479,2011-02-08,12:15:00,upper feather lfc,not recorded,496,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,480,2011-02-09,15:00:00,upper feather lfc,not recorded,500,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,481,2011-02-10,10:00:00,upper feather lfc,not recorded,494,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,482,2011-02-17,12:00:00,upper feather lfc,not recorded,496,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,483,2011-02-20,11:30:00,upper feather lfc,not recorded,248,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
feather river,upper feather lfc,484,2011-02-26,13:45:00,upper feather lfc,not recorded,494,NA,natural,fall,not recorded,not recorded,NA,NA,NA,NA,yes,NA,NA,FALSE
