year,run_year,week,stream,site,number_released,number_recaptured,standardized_log_efficiency_flow,log_flow_cfs
2008,2008,7,sacramento river,knights landing,243,5,NA,0
2008,2008,9,sacramento river,knights landing,1684,24,NA,0
2009,2009,5,sacramento river,knights landing,250,0,NA,0
2009,2009,8,sacramento river,knights landing,2212,17,NA,0
2009,2009,9,sacramento river,knights landing,2761,9,NA,0
2009,2009,10,sacramento river,knights landing,1106,2,NA,0
2009,2009,11,sacramento river,knights landing,1106,0,NA,0
2009,2009,12,sacramento river,knights landing,1234,8,NA,0
2010,2010,3,sacramento river,knights landing,465,1,NA,0
2010,2010,4,sacramento river,knights landing,3273,3,NA,0
2010,2010,5,sacramento river,knights landing,1096,9,NA,0
2010,2010,6,sacramento river,knights landing,399,1,NA,0
2010,2010,9,sacramento river,knights landing,171,3,NA,0
2011,2011,1,sacramento river,knights landing,708,3,NA,0
2011,2011,8,sacramento river,knights landing,370,0,NA,0
2011,2011,12,sacramento river,knights landing,414,1,NA,0
2011,2011,13,sacramento river,knights landing,205,4,NA,0
2011,2011,17,sacramento river,knights landing,136,2,NA,0
2012,2012,4,sacramento river,knights landing,2291,13,NA,0
2012,2012,5,sacramento river,knights landing,196,3,NA,0
2012,2012,12,sacramento river,knights landing,696,1,NA,0
2012,2012,13,sacramento river,knights landing,1944,28,NA,0
2012,2012,16,sacramento river,knights landing,284,0,NA,0
2014,2014,8,sacramento river,knights landing,285,3,NA,0
2014,2014,10,sacramento river,knights landing,1078,14,NA,0
2014,2014,12,sacramento river,knights landing,81,0,NA,0
2015,2015,6,sacramento river,knights landing,2870,0,NA,0
2015,2015,7,sacramento river,knights landing,1278,30,NA,0
2015,2015,12,sacramento river,knights landing,570,0,NA,0
2015,2015,13,sacramento river,knights landing,513,0,NA,0
2016,2016,2,sacramento river,knights landing,3202,43,NA,0
2016,2016,4,sacramento river,knights landing,2864,5,NA,0
2016,2016,6,sacramento river,knights landing,632,0,NA,0
2016,2016,7,sacramento river,knights landing,479,0,NA,0
2016,2016,8,sacramento river,knights landing,489,0,NA,0
2016,2016,11,sacramento river,knights landing,490,1,NA,0
2016,2016,12,sacramento river,knights landing,488,0,NA,0
2016,2016,13,sacramento river,knights landing,470,0,NA,0
2016,2016,14,sacramento river,knights landing,516,7,NA,0
2016,2016,15,sacramento river,knights landing,473,0,NA,0
2016,2016,16,sacramento river,knights landing,419,1,NA,0
2016,2016,17,sacramento river,knights landing,507,0,NA,0
2016,2016,38,sacramento river,knights landing,334,1,NA,0
2016,2016,39,sacramento river,knights landing,311,0,NA,0
2016,2016,41,sacramento river,knights landing,304,0,NA,0
2016,2016,42,sacramento river,knights landing,152,0,NA,0
2016,2017,45,sacramento river,knights landing,969,1,NA,0
2016,2017,48,sacramento river,knights landing,1126,2,NA,0
2017,2017,3,sacramento river,knights landing,1407,2,NA,0
2017,2017,4,sacramento river,knights landing,182,0,NA,0
2017,2017,10,sacramento river,knights landing,987,1,NA,0
2017,2017,11,sacramento river,knights landing,950,0,NA,0
2017,2017,12,sacramento river,knights landing,906,2,NA,0
2018,2018,43,sacramento river,knights landing,1105,0,NA,0
2018,2019,45,sacramento river,knights landing,642,0,NA,0
2019,2019,6,sacramento river,knights landing,293,0,NA,0
2019,2019,11,sacramento river,knights landing,1114,0,NA,0
2019,2019,13,sacramento river,knights landing,910,0,NA,0
2019,2019,15,sacramento river,knights landing,1913,0,NA,0
2019,2019,17,sacramento river,knights landing,127,0,NA,0
2021,2021,5,sacramento river,knights landing,100,0,NA,0
2021,2021,6,sacramento river,knights landing,401,0,NA,0
2021,2021,12,sacramento river,knights landing,556,1,NA,0
2021,2021,13,sacramento river,knights landing,128,0,NA,0
2021,2022,51,sacramento river,knights landing,275,2,NA,0
2021,2022,52,sacramento river,knights landing,212,1,NA,0
2022,2022,2,sacramento river,knights landing,320,0,NA,0
2022,2022,10,sacramento river,knights landing,500,0,NA,0
2023,2023,2,sacramento river,knights landing,721,0,NA,0
2023,2023,15,sacramento river,knights landing,1217,4,NA,0
2024,2024,13,sacramento river,knights landing,1163,0,NA,0
2025,2025,7,sacramento river,knights landing,134,0,NA,0
2026,2026,2,sacramento river,knights landing,1544,2,NA,0
2026,2026,4,sacramento river,knights landing,1908,9,NA,0
2026,2026,5,sacramento river,knights landing,1060,5,NA,0
2026,2026,6,sacramento river,knights landing,1059,2,NA,0
