projectDescriptionID,releaseID,commonName,markedRun,markedLifeStage,markedFishOrigin,sourceOfFishSite,releaseSite,releaseSubSite,nReleased,releaseTime,testDays,appliedMarkType,appliedMarkColor,appliedMarkPosition,appliedMarkCode,includeAnalysis
10,315,Chinook salmon,Fall,NA,Hatchery,NA,Tisdale Weir release site,NA,478,2022-04-07T12:00:08Z,7,Elastomer,Pink,Nose,NA,Yes
10,316,Chinook salmon,Fall,NA,Hatchery,NA,Tisdale Weir release site,NA,494,2023-02-08T12:00:08Z,7,Pigment / dye,Not applicable (n/a),Not applicable (n/a),NA,Yes
10,317,Chinook salmon,Fall,NA,Hatchery,NA,Tisdale Weir release site,NA,1093,2023-04-12T12:00:08Z,7,Elastomer,Pink,Nose,NA,Yes
10,318,Chinook salmon,Fall,NA,Hatchery,NA,Tisdale Weir release site,NA,993,2023-04-19T12:00:08Z,7,Elastomer,Orange,Nose,NA,Yes
10,319,Chinook salmon,Fall,NA,Hatchery,NA,Tisdale Weir release site,NA,1025,2023-04-25T12:00:08Z,7,Elastomer,Red,Nose,NA,Yes
10,320,Chinook salmon,Fall,NA,Hatchery,NA,Tisdale Weir release site,NA,431,2024-01-17T12:00:08Z,7,Pigment / dye,Brown,Whole body,NA,Yes
10,321,Chinook salmon,Fall,NA,Hatchery,NA,Tisdale Weir release site,NA,322,2024-01-26T12:00:08Z,7,Pigment / dye,Brown,Whole body,NA,Yes
10,322,Chinook salmon,Fall,NA,Hatchery,NA,Tisdale Weir release site,NA,1054,2024-03-12T12:00:08Z,7,Pigment / dye,Brown,Whole body,NA,Yes
10,323,Chinook salmon,Fall,NA,Hatchery,NA,Tisdale Weir release site,NA,1273,2024-03-19T12:00:08Z,7,Elastomer,Pink,Nose,NA,Yes
10,324,Chinook salmon,Fall,NA,Hatchery,NA,Tisdale Weir release site,NA,604,2024-03-26T12:00:08Z,7,Elastomer,Orange,Nose,NA,Yes
10,325,Chinook salmon,Fall,NA,Hatchery,NA,Tisdale Weir release site,NA,468,2024-03-28T12:00:08Z,1,Elastomer,Red,Nose,NA,Yes
