projectDescriptionID,releaseID,releaseTime,commonName,markedRun,markedLifeStage,markedFishOrigin,sourceOfFishSite,releaseSite,releaseSubSite,nReleased,testDays,appliedMarkType,appliedMarkColor,appliedMarkPosition,IncludeInAnalysis
9,281,2016-04-27T09:42:17Z,Chinook salmon,Fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,507,65,Elastomer,Orange,Nose,Yes
9,286,2016-09-16T10:14:17Z,Chinook salmon,Late fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,334,45,Elastomer,Purple / Violet,Nose,Yes
9,287,2016-09-29T14:30:17Z,Chinook salmon,Late fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,311,45,Elastomer,Pink,Nose,Yes
9,288,2016-10-12T14:29:17Z,Chinook salmon,Late fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,304,45,Elastomer,Orange,Nose,Yes
9,289,2016-10-19T15:44:17Z,Chinook salmon,Late fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,152,45,Elastomer,Green,Nose,Yes
9,290,2016-11-09T15:30:17Z,Chinook salmon,Late fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,969,45,Elastomer,Purple / Violet,Nose,Yes
9,291,2016-11-30T16:45:17Z,Chinook salmon,Late fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,1126,45,Elastomer,Blue,Nose,Yes
9,292,2017-03-08T09:10:17Z,Chinook salmon,Fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,987,45,Elastomer,Pink,Nose,Yes
9,293,2017-03-15T09:00:17Z,Chinook salmon,Fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,950,45,Elastomer,Purple / Violet,Nose,Yes
9,294,2017-03-22T09:00:17Z,Chinook salmon,Fall,NA,Hatchery,Not yet assigned,Knights Landing release site,NA,906,45,Elastomer,Orange,Nose,Yes
9,574,2010-02-10T16:00:50Z,Chinook salmon,Not recorded,NA,Not recorded,Not yet assigned,Knights Landing release site,NA,399,7,Pigment / dye,Brown,Whole body,Yes
