date,release_id,stream,site,subsite,site_group,count,fork_length
2000-04-28,KNL31,sacramento river,knights landing,not recorded,knights landing,3,NA
1996-01-26,KNL32,sacramento river,knights landing,not recorded,knights landing,0,NA
1996-01-27,KNL33,sacramento river,knights landing,not recorded,knights landing,0,NA
1996-01-28,KNL34,sacramento river,knights landing,not recorded,knights landing,1,NA
1996-02-02,KNL35,sacramento river,knights landing,not recorded,knights landing,4,NA
1996-02-03,KNL36,sacramento river,knights landing,not recorded,knights landing,1,NA
1996-02-04,KNL37,sacramento river,knights landing,not recorded,knights landing,9,NA
1996-02-05,KNL38,sacramento river,knights landing,not recorded,knights landing,14,NA
1996-02-07,KNL39,sacramento river,knights landing,not recorded,knights landing,1,NA
1996-02-08,KNL40,sacramento river,knights landing,not recorded,knights landing,0,NA
1996-02-10,KNL41,sacramento river,knights landing,not recorded,knights landing,0,NA
1996-02-11,KNL42,sacramento river,knights landing,not recorded,knights landing,0,NA
1996-02-12,KNL43,sacramento river,knights landing,not recorded,knights landing,0,NA
1996-02-13,KNL44,sacramento river,knights landing,not recorded,knights landing,1,NA
1996-02-14,KNL45,sacramento river,knights landing,not recorded,knights landing,0,NA
1996-02-16,KNL46,sacramento river,knights landing,not recorded,knights landing,0,NA
1996-02-17,KNL47,sacramento river,knights landing,not recorded,knights landing,0,NA
1996-02-18,KNL48,sacramento river,knights landing,not recorded,knights landing,0,NA
1996-02-19,KNL49,sacramento river,knights landing,not recorded,knights landing,0,NA
1996-02-20,KNL50,sacramento river,knights landing,not recorded,knights landing,1,NA
1996-02-21,KNL51,sacramento river,knights landing,not recorded,knights landing,0,NA
1997-12-25,KNL52,sacramento river,knights landing,not recorded,knights landing,2,NA
1998-01-09,KNL53,sacramento river,knights landing,not recorded,knights landing,44,NA
1998-01-16,KNL54,sacramento river,knights landing,not recorded,knights landing,17,NA
1998-01-23,KNL55,sacramento river,knights landing,not recorded,knights landing,3,NA
1998-01-30,KNL56,sacramento river,knights landing,not recorded,knights landing,20,NA
1998-02-06,KNL57,sacramento river,knights landing,not recorded,knights landing,10,NA
1998-02-13,KNL58,sacramento river,knights landing,not recorded,knights landing,4,NA
1998-02-20,KNL59,sacramento river,knights landing,not recorded,knights landing,2,NA
1998-02-27,KNL60,sacramento river,knights landing,not recorded,knights landing,13,NA
1998-03-06,KNL61,sacramento river,knights landing,not recorded,knights landing,10,NA
1998-03-13,KNL62,sacramento river,knights landing,not recorded,knights landing,7,NA
1998-03-20,KNL63,sacramento river,knights landing,not recorded,knights landing,138,NA
1998-03-27,KNL64,sacramento river,knights landing,not recorded,knights landing,11,NA
1998-04-03,KNL65,sacramento river,knights landing,not recorded,knights landing,1,NA
1998-04-10,KNL66,sacramento river,knights landing,not recorded,knights landing,1,NA
1998-04-17,KNL67,sacramento river,knights landing,not recorded,knights landing,0,NA
1998-04-24,KNL68,sacramento river,knights landing,not recorded,knights landing,1,NA
1998-05-01,KNL69,sacramento river,knights landing,not recorded,knights landing,1,NA
1998-05-08,KNL70,sacramento river,knights landing,not recorded,knights landing,2,NA
1998-05-15,KNL71,sacramento river,knights landing,not recorded,knights landing,0,NA
1998-05-22,KNL72,sacramento river,knights landing,not recorded,knights landing,0,NA
1998-06-12,KNL73,sacramento river,knights landing,not recorded,knights landing,0,NA
2001-01-30,KNL74,sacramento river,knights landing,not recorded,knights landing,2,NA
2001-02-06,KNL75,sacramento river,knights landing,not recorded,knights landing,1,NA
2001-02-13,KNL76,sacramento river,knights landing,not recorded,knights landing,0,NA
2001-02-20,KNL77,sacramento river,knights landing,not recorded,knights landing,17,NA
2001-02-27,KNL78,sacramento river,knights landing,not recorded,knights landing,9,NA
2001-03-06,KNL79,sacramento river,knights landing,not recorded,knights landing,5,NA
2001-03-13,KNL80,sacramento river,knights landing,not recorded,knights landing,2,NA
2001-03-27,KNL81,sacramento river,knights landing,not recorded,knights landing,0,NA
2001-04-24,KNL82,sacramento river,knights landing,not recorded,knights landing,0,NA
2001-05-01,KNL83,sacramento river,knights landing,not recorded,knights landing,3,NA
2001-05-08,KNL84,sacramento river,knights landing,not recorded,knights landing,2,NA
2001-05-15,KNL85,sacramento river,knights landing,not recorded,knights landing,4,NA
