"","release_location_name","avg_weight","avg_length","first_release_date","last_release_date","tag_code_or_release_id","tag_loss_rate","wy_first_release","wy_last_release","date_span","total_marked_N","total_unmarked_N","total_release_N","mark_rate","mid_release_date","release_latitude","release_longitude","delta_distance"
"44","FEATHER AT GRIDLEY",7.19,NA,2016-04-14,2016-04-14,"060733",0,2016-04-14,2016-04-14,1,536971,3002,539973,0.994440462763879,2016-04-14,39.366,-121.65,115.9
"45","FEATHER AT GRIDLEY",4.77,NA,2016-03-24,2016-03-24,"060732",0,2016-03-24,2016-03-24,1,464247,1035,465282,0.997775542574181,2016-03-24,39.366,-121.65,115.9
"46","FEATHER BOYDS PUMP RAMP",6.97,NA,2016-04-14,2016-04-14,"060734",0,2016-04-14,2016-04-14,1,551400,2475,553875,0.995531482735274,2016-04-14,39.057,-121.61,68.53
"47","FEATHER BOYDS PUMP RAMP",6.38,NA,2014-04-11,2014-04-11,"068008",0,2014-04-11,2014-04-11,1,7818,66,7884,0.991628614916286,2014-04-11,39.057,-121.61,68.53
"48","FEATHER BOYDS PUMP RAMP",6.38,NA,2014-04-11,2014-04-11,"068696",0,2014-04-11,2014-04-11,1,78832,670,79502,0.991572539055621,2014-04-11,39.057,-121.61,68.53
"49","FEATHER BOYDS PUMP RAMP",9.08,NA,2015-04-02,2015-04-02,"060381",0,2015-04-02,2015-04-02,1,42414,381,42795,0.991097090781633,2015-04-02,39.057,-121.61,68.53
"50","FEATHER BOYDS PUMP RAMP",5.36,NA,2015-03-18,2015-03-19,"060654",0,2015-03-18,2015-03-19,2,495041,4458,499499,0.991075057207322,2015-03-19,39.057,-121.61,68.53
"51","FEATHER BOYDS PUMP RAMP",9.08,NA,2015-04-02,2015-04-02,"068730",0,2015-04-02,2015-04-02,1,89379,808,90187,0.99104083737124,2015-04-02,39.057,-121.61,68.53
"52","FEATHER AT GRIDLEY",7.08,NA,2015-04-02,2015-04-02,"060479",0,2015-04-02,2015-04-02,1,257849,2887,260736,0.98892749754541,2015-04-02,39.366,-121.65,115.9
"53","FEATHER AT GRIDLEY",6.76,NA,2015-04-02,2015-04-02,"060567",0,2015-04-02,2015-04-02,1,259624,1451,261075,0.994442210092885,2015-04-02,39.366,-121.65,115.9
"54","FEATHER AT GRIDLEY",5.59,NA,2015-03-18,2015-03-19,"060714",0,2015-03-18,2015-03-19,2,493279,6049,499328,0.987885718405537,2015-03-19,39.366,-121.65,115.9
"55","FEATHER AT GRIDLEY",6.97,NA,2015-04-02,2015-04-02,"068699",0,2015-04-02,2015-04-02,1,54836,184,55020,0.996655761541258,2015-04-02,39.366,-121.65,115.9
"56","FEATHER AT LIVE OAK",1.67,55,2005-02-18,2005-02-18,"062419",0.008,2005-02-18,2005-02-18,1,117485,1903,119388,0.984060374577009,2005-02-18,39.27,-121.63,100.78
"57","FEATHER AT LIVE OAK",15,116,2005-05-02,2005-05-26,"062422",0.01,2005-05-02,2005-05-26,25,112516,2286,114802,0.980087454922388,2005-05-14,39.27,-121.63,100.78
"58","FEATHER AT LIVE OAK",15,116,2005-05-02,2005-05-26,"062423",0.01,2005-05-02,2005-05-26,25,53298,1082,54380,0.98010297903641,2005-05-14,39.27,-121.63,100.78
"59","FEATHER AT LIVE OAK",1.67,55,2005-02-18,2005-02-18,"062426",0.008,2005-02-18,2005-02-18,1,57764,936,58700,0.984054514480409,2005-02-18,39.27,-121.63,100.78
"60","FEATHER AT LIVE OAK",9.1,91,2005-05-02,2005-05-26,"062437",0.01,2005-05-02,2005-05-26,25,58898,1196,60094,0.980097846706826,2005-05-14,39.27,-121.63,100.78
"61","FEATHER AT LIVE OAK",9.1,91,2005-05-02,2005-05-26,"062439",0.01,2005-05-02,2005-05-26,25,54789,1113,55902,0.980090157776108,2005-05-14,39.27,-121.63,100.78
"62","FEATHER AT LIVE OAK",9.1,91,2005-05-02,2005-05-26,"062440",0.01,2005-05-02,2005-05-26,25,56023,1138,57161,0.980091321005581,2005-05-14,39.27,-121.63,100.78
"63","FEATHER AT LIVE OAK",9.1,91,2005-05-02,2005-05-26,"062442",0.01,2005-05-02,2005-05-26,25,56662,1151,57813,0.980090982996904,2005-05-14,39.27,-121.63,100.78
"64","FEATHER AT LIVE OAK",15,116,2005-05-02,2005-05-26,"062421",0.01,2005-05-02,2005-05-26,25,118094,2398,120492,0.980098263785148,2005-05-14,39.27,-121.63,100.78
"65","FEATHER AT LIVE OAK",1.67,55,2005-02-18,2005-02-18,"062427",0.008,2005-02-18,2005-02-18,1,57412,930,58342,0.984059511158342,2005-02-18,39.27,-121.63,100.78
"66","FEATHER AT LIVE OAK",9.1,91,2005-05-02,2005-05-26,"062441",0.01,2005-05-02,2005-05-26,25,55840,1134,56974,0.980096184224383,2005-05-14,39.27,-121.63,100.78
"67","FEATHER AT LIVE OAK",9.1,91,2005-05-02,2005-05-26,"062438",0.01,2005-05-02,2005-05-26,25,57309,1164,58473,0.980093376430147,2005-05-14,39.27,-121.63,100.78
"68","FEATHER BOYDS PUMP RAMP",3.51,NA,2008-04-15,2008-04-18,"068012",0.01,2008-04-15,2008-04-18,4,115678,2349,118027,0.980097774238098,2008-04-17,39.057,-121.61,68.53
"69","FEATHER BOYDS PUMP RAMP",3.51,NA,2008-04-14,2008-04-15,"062475",0.025,2008-04-14,2008-04-15,2,112112,5824,117936,0.950617283950617,2008-04-15,39.057,-121.61,68.53
"70","FEATHER BOYDS PUMP RAMP",3.51,NA,2008-04-15,2008-04-18,"068011",0.01,2008-04-15,2008-04-18,4,116118,2358,118476,0.980097234883014,2008-04-17,39.057,-121.61,68.53
"71","FEATHER BOYDS PUMP RAMP",3.51,NA,2008-04-21,2008-04-22,"068013",0.01,2008-04-21,2008-04-22,2,116352,2363,118715,0.980095185949543,2008-04-22,39.057,-121.61,68.53
"72","FEATHER BOYDS PUMP RAMP",3.51,NA,2008-04-18,2008-04-22,"068014",0.01,2008-04-18,2008-04-22,5,111633,2267,113900,0.98009657594381,2008-04-20,39.057,-121.61,68.53
