record_code,format_version,submission_date,reporting_agency,release_agency,coordinator,tag_code_or_release_id,tag_type,first_sequential_number,last_sequential_number,related_group_type,related_group_id,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_weight,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments,release_location_name,hatchery_location_name,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,record_origin
T,4.2,20250625,USFWS,USFWS,07,056719,12,,,,,1,3,2022,20230504,20230504,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,0.14,74,N,5000,77123,0000,292,5000,292,0000,233704,C,0.0038,22,266,,Trucked due to unfavorable conditions in the upper Sacramento R,COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20250625,USFWS,USFWS,07,056714,12,,,,,1,3,2022,20230425,20230425,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,0.12,70,N,5000,114569,,,0000,339078,,,C,0,27,323,,"Total count using Vaki by CNFH Staff, Tagged total by tagging trailer",COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20250625,USFWS,USFWS,07,056697,12,,,,,1,3,2022,20230424,20230424,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,0.07,80,N,5000,106958,,,0000,321780,,,C,0,26,385,,"Total count using Vaki by CNFH Staff, Tagged total by tagging trailer",COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20250625,USFWS,USFWS,07,056704,12,,,,,1,3,2022,20230424,20230424,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,0.08,77,N,5000,116837,,,0000,352381,,,C,0,24,383,,"Total count using Vaki by CNFH Staff, Tagged total by tagging trailer",COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20250625,USFWS,USFWS,07,056718,12,,,,,1,3,2022,20230425,20230425,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,0.12,69,N,5000,103858,,,5000,2360,0000,317681,C,0.0222,27,270,,Trucked due to unfavorable conditions in the upper Sacramento R,COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20250625,USFWS,USFWS,07,056717,12,,,,,1,3,2022,20230425,20230425,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,0.09,70,N,5000,109453,0000,350,0000,329305,,,C,0,28,314,,"Total count using Vaki by CNFH Staff, Tagged total by tagging trailer",COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20250625,USFWS,USFWS,07,056715,12,,,,,1,3,2022,20230425,20230425,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,0.13,67,N,5000,105112,,,0000,315660,,,C,0,19,366,,"Total count using Vaki by CNFH Staff, Tagged total by tagging trailer",COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20250625,USFWS,USFWS,07,056713,12,,,,,1,3,2022,20230425,20230425,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,0.12,70,N,5000,95992,,,0000,280461,,,C,0,28,323,,"Total count using Vaki by CNFH Staff, Tagged total by tagging trailer",COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20250625,USFWS,USFWS,07,056710,12,,,,,1,3,2022,20230425,20230425,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,0.09,74,N,5000,110705,,,0000,344612,,,C,0,27,389,,"Total count using Vaki by CNFH Staff, Tagged total by tagging trailer",COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
T,4.2,20250625,USFWS,USFWS,07,056709,12,,,,,1,3,2022,20230425,20230425,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,0.11,70,N,5000,115271,,,0000,345846,,,C,0,19,375,,"Total count using Vaki by CNFH Staff, Tagged total by tagging trailer",COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N
