record_code,format_version,submission_date,reporting_agency,release_agency,coordinator,tag_code_or_release_id,tag_type,first_sequential_number,last_sequential_number,related_group_type,related_group_id,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_weight,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments,release_location_name,hatchery_location_name,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,record_origin,
T,4.1,3/28/2002,USFWS,USFWS,7,0501010706,3,,,,,1,4,1992,1/27/1993,1/27/1993,6FCSASAF NSAN,6FCSABAT CNFH,6FCSA,P,H,E,,5.9,81,N,5000,742,,,5000,32,,,C,0.0413,33,120,,,SAC R NORTH ST ANDERSON,COLEMAN NFH,SAC R AB COLLINSVILLE,CA,SAFA,SACR,C,0.919063824
T,4.1,8/3/2006,CDFW,CDFW,8,065858,0,,,,,1,3,1984,7/29/1985,7/29/1985,6MOSFCMA,6FCSAFEA FRFH,6FCSAFEA,V,H,E,,11.06,,N,5000,24305,,,5000,1252,,,,0.049,27,,,NIGHT RELEASE,CALIF. MARIT. ACAD.,FEATHER R HATCHERY,FEATHER RIVER,CA,CECA,SFBA,C,0.904411903
T,4.1,8/3/2006,CDFW,CDFW,8,065855,0,,,,,1,1,1984,4/25/1985,4/25/1985,6MOSFCMA,6FCSAFEA FRFH,6FCSAFEA,V,H,E,,7.96,,N,5000,22321,,,5000,2675,,,,0.107,29,,,,CALIF. MARIT. ACAD.,FEATHER R HATCHERY,FEATHER RIVER,CA,CECA,SFBA,C,0.797433709
T,4.1,8/3/2006,CDFW,CDFW,8,065828,0,,,,,1,1,1981,5/17/1982,5/17/1982,6MOSFCMA,6FCSAFEA FRFH,6FCSAFEA,V,H,E,,10.8,,N,5000,40776,,,5000,6474,,,,0.137,14,,,,CALIF. MARIT. ACAD.,FEATHER R HATCHERY,FEATHER RIVER,CA,CECA,SFBA,C,0.744755302
T,4.1,8/3/2006,CDFW,CDFW,8,065822,0,,,,,1,3,1980,6/10/1981,6/10/1981,6MOSFCMA,6FCSAFEA FRFH,6FCSAFEA,V,H,E,,9.45,,N,5000,39871,,,5000,4529,,,,0.102,15,,,,CALIF. MARIT. ACAD.,FEATHER R HATCHERY,FEATHER RIVER,CA,CECA,SFBA,C,0.806399955
T,4.1,8/3/2006,CDFW,CDFW,8,065834,0,,,,,1,3,1981,8/24/1982,8/25/1982,6MOSFCMA,6FCSAFEA FRFH,6FCSAFEA,V,H,E,,20.62,,N,5000,50989,,,5000,411,,,,0.008,3,,,,CALIF. MARIT. ACAD.,FEATHER R HATCHERY,FEATHER RIVER,CA,CECA,SFBA,C,0.98406786
T,4.1,8/3/2006,CDFW,CDFW,8,065856,0,,,,,1,3,1984,7/16/1985,7/16/1985,6MOSFCMA,6FCSAFEA FRFH,6FCSAFEA,V,H,E,,9.07,,N,5000,22441,,,5000,2600,,,,0.1038,14,,,DAY RELEASE,CALIF. MARIT. ACAD.,FEATHER R HATCHERY,FEATHER RIVER,CA,CECA,SFBA,C,0.803147806
T,4.1,8/3/2006,CDFW,CDFW,8,065824,0,,,,,1,3,1980,8/10/1981,8/10/1981,6MOSFCMA,6FCSAFEA FRFH,6FCSAFEA,V,H,E,,12.6,,N,5000,45203,,,5000,5294,,,,0.1048,24,,,,CALIF. MARIT. ACAD.,FEATHER R HATCHERY,FEATHER RIVER,CA,CECA,SFBA,C,0.801349102
T,4.1,8/3/2006,CDFW,CDFW,8,064813,0,,,,,1,3,1979,11/4/1980,11/4/1980,6MOSFCMA,6FCSJMOK MRFI,6FCSAFEA,Y,H,E,,48.77,,N,5000,29503,,,5000,6302,,,,0.176,75,,,,CALIF. MARIT. ACAD.,MOK R FISH INS,FEATHER RIVER,CA,CECA,SFBA,C,0.678968636
T,4.1,8/3/2006,CDFW,CDFW,8,065847,0,,,,,1,3,1983,6/18/1984,6/18/1984,6MOSFCMA,6FCSAFEA FRFH,6FCSAFEA,V,H,E,,7.96,,N,5000,40185,,,5000,2565,,,,0.06,31,,,,CALIF. MARIT. ACAD.,FEATHER R HATCHERY,FEATHER RIVER,CA,CECA,SFBA,C,0.8836
T,4.1,8/3/2006,CDFW,CDFW,8,065844,0,,,,,1,3,1982,9/2/1983,9/2/1983,6MOSFCMA,6FCSAFEA FRFH,6FCSAFEA,V,H,E,,16.2,,N,5000,39800,,,5000,2904,,,,0.068,20,,,,CALIF. MARIT. ACAD.,FEATHER R HATCHERY,FEATHER RIVER,CA,CECA,SFBA,C,0.868621206
T,4.1,8/3/2006,CDFW,CDFW,8,066207,0,,,,,1,3,1979,6/3/1980,6/3/1980,6FCSAFEA FRFH,6FCSAFEA FRFH,6FCSAFEA,V,H,E,,8.4,,N,5000,88335,,,5000,2920,,,,0.032,34,,,,FEATHER R HATCHERY,FEATHER R HATCHERY,FEATHER RIVER,CA,SAFA,FEA,C,0.937025697
T,4.1,8/3/2006,CDFW,CDFW,8,066213,0,,,,,1,3,1980,6/1/1981,6/1/1981,6FCSAFEA FRFH,6FCSAFEA FRFH,6FCSAFEA,V,H,E,,8.1,90,N,5000,97438,,,5000,5562,,,,0.054,48,,,,FEATHER R HATCHERY,FEATHER R HATCHERY,FEATHER RIVER,CA,SAFA,FEA,C,0.894916
T,4.1,8/3/2006,CDFW,CDFW,8,065827,0,,,,,1,3,1980,10/5/1981,11/10/1981,6FCSAFEA FRFH,6FCSAFEA FRFH,6FCSAFEA,Y,H,P,,36.88,,N,5000,30469,,,0,1047066,5000,5195,W,0.1457,13,,,,FEATHER R HATCHERY,FEATHER R HATCHERY,FEATHER RIVER,CA,SAFA,FEA,C,0.024040774
