log_id,date_identified,data_type,stream,site,run_year,issue_type,field,description,n_records,severity,alert_level,status,reviewer_notes,date_resolved,fix_script
rst__butte_creek__okie_dam__2007__extreme_value__count,2026-07-29,rst,butte creek,okie dam,2007,extreme_value,count,Total catch of 669926 in run year 2007 at okie dam (butte creek) is 8.2x the site median (81964.5),1,minor,error,open,,,
rst__butte_creek__okie_dam__2008__extreme_value__count,2026-07-29,rst,butte creek,okie dam,2008,extreme_value,count,Total catch of 353141 in run year 2008 at okie dam (butte creek) is 4.3x the site median (81964.5),1,minor,error,open,,,
rst__butte_creek__okie_dam__2020__extreme_value__count,2026-07-29,rst,butte creek,okie dam,2020,extreme_value,count,Total catch of 429011 in run year 2020 at okie dam (butte creek) is 5.2x the site median (81964.5),1,minor,error,open,,,
rst__clear_creek__lcc__1999__extreme_value__count,2026-07-29,rst,clear creek,lcc,1999,extreme_value,count,Total catch of 758650 in run year 1999 at lcc (clear creek) is 4.1x the site median (186491.5),1,minor,error,open,,,
rst__clear_creek__lcc__2014__extreme_value__count,2026-07-29,rst,clear creek,lcc,2014,extreme_value,count,Total catch of 889198 in run year 2014 at lcc (clear creek) is 4.8x the site median (186491.5),1,minor,error,open,,,
rst__clear_creek__ucc__2014__extreme_value__count,2026-07-29,rst,clear creek,ucc,2014,extreme_value,count,Total catch of 28301 in run year 2014 at ucc (clear creek) is 6.2x the site median (4591),1,minor,error,open,,,
rst__clear_creek__ucc__2022__extreme_value__count,2026-07-29,rst,clear creek,ucc,2022,extreme_value,count,Total catch of 77189 in run year 2022 at ucc (clear creek) is 16.8x the site median (4591),1,minor,error,open,,,
rst__deer_creek__deer_creek__1996__extreme_value__count,2026-07-29,rst,deer creek,deer creek,1996,extreme_value,count,Total catch of 5736 in run year 1996 at deer creek (deer creek) is 5.6x the site median (1032),1,minor,error,open,,,
rst__deer_creek__deer_creek__1999__extreme_value__count,2026-07-29,rst,deer creek,deer creek,1999,extreme_value,count,Total catch of 8569 in run year 1999 at deer creek (deer creek) is 8.3x the site median (1032),1,minor,error,open,,,
rst__deer_creek__deer_creek__2000__extreme_value__count,2026-07-29,rst,deer creek,deer creek,2000,extreme_value,count,Total catch of 8372 in run year 2000 at deer creek (deer creek) is 8.1x the site median (1032),1,minor,error,open,,,
rst__deer_creek__deer_creek__2001__extreme_value__count,2026-07-29,rst,deer creek,deer creek,2001,extreme_value,count,Total catch of 5719 in run year 2001 at deer creek (deer creek) is 5.5x the site median (1032),1,minor,error,open,,,
rst__deer_creek__deer_creek__2002__extreme_value__count,2026-07-29,rst,deer creek,deer creek,2002,extreme_value,count,Total catch of 22190 in run year 2002 at deer creek (deer creek) is 21.5x the site median (1032),1,minor,error,open,,,
rst__deer_creek__deer_creek__2004__extreme_value__count,2026-07-29,rst,deer creek,deer creek,2004,extreme_value,count,Total catch of 14147 in run year 2004 at deer creek (deer creek) is 13.7x the site median (1032),1,minor,error,open,,,
rst__deer_creek__deer_creek__2005__extreme_value__count,2026-07-29,rst,deer creek,deer creek,2005,extreme_value,count,Total catch of 25024 in run year 2005 at deer creek (deer creek) is 24.2x the site median (1032),1,minor,error,open,,,
rst__deer_creek__deer_creek__2007__extreme_value__count,2026-07-29,rst,deer creek,deer creek,2007,extreme_value,count,Total catch of 39048 in run year 2007 at deer creek (deer creek) is 37.8x the site median (1032),1,minor,error,open,,,
rst__deer_creek__deer_creek__2010__extreme_value__count,2026-07-29,rst,deer creek,deer creek,2010,extreme_value,count,Total catch of 4174 in run year 2010 at deer creek (deer creek) is 4x the site median (1032),1,minor,error,open,,,
rst__feather_river__herringer_riffle__2002__extreme_value__count,2026-07-29,rst,feather river,herringer riffle,2002,extreme_value,count,Total catch of 547260 in run year 2002 at herringer riffle (feather river) is 11.5x the site median (47753),1,minor,error,open,,,
rst__feather_river__herringer_riffle__2003__extreme_value__count,2026-07-29,rst,feather river,herringer riffle,2003,extreme_value,count,Total catch of 336376 in run year 2003 at herringer riffle (feather river) is 7x the site median (47753),1,minor,error,open,,,
rst__feather_river__herringer_riffle__2004__extreme_value__count,2026-07-29,rst,feather river,herringer riffle,2004,extreme_value,count,Total catch of 903829 in run year 2004 at herringer riffle (feather river) is 18.9x the site median (47753),1,minor,error,open,,,
rst__feather_river__herringer_riffle__2005__extreme_value__count,2026-07-29,rst,feather river,herringer riffle,2005,extreme_value,count,Total catch of 408221 in run year 2005 at herringer riffle (feather river) is 8.5x the site median (47753),1,minor,error,open,,,
rst__feather_river__herringer_riffle__2012__extreme_value__count,2026-07-29,rst,feather river,herringer riffle,2012,extreme_value,count,Total catch of 202049 in run year 2012 at herringer riffle (feather river) is 4.2x the site median (47753),1,minor,error,open,,,
rst__feather_river__herringer_riffle__2013__extreme_value__count,2026-07-29,rst,feather river,herringer riffle,2013,extreme_value,count,Total catch of 574729 in run year 2013 at herringer riffle (feather river) is 12x the site median (47753),1,minor,error,open,,,
rst__feather_river__herringer_riffle__2014__extreme_value__count,2026-07-29,rst,feather river,herringer riffle,2014,extreme_value,count,Total catch of 367542 in run year 2014 at herringer riffle (feather river) is 7.7x the site median (47753),1,minor,error,open,,,
rst__feather_river__steep_riffle__2011__extreme_value__count,2026-07-29,rst,feather river,steep riffle,2011,extreme_value,count,Total catch of 1746647 in run year 2011 at steep riffle (feather river) is 5.1x the site median (340085),1,minor,error,open,,,
rst__mill_creek__mill_creek__2002__extreme_value__count,2026-07-29,rst,mill creek,mill creek,2002,extreme_value,count,Total catch of 22833 in run year 2002 at mill creek (mill creek) is 8.6x the site median (2668),1,minor,error,open,,,
rst__mill_creek__mill_creek__2005__extreme_value__count,2026-07-29,rst,mill creek,mill creek,2005,extreme_value,count,Total catch of 24959 in run year 2005 at mill creek (mill creek) is 9.4x the site median (2668),1,minor,error,open,,,
rst__mill_creek__mill_creek__2007__extreme_value__count,2026-07-29,rst,mill creek,mill creek,2007,extreme_value,count,Total catch of 44027 in run year 2007 at mill creek (mill creek) is 16.5x the site median (2668),1,minor,error,open,,,
rst__sacramento_river__knights_landing__1997__extreme_value__count,2026-07-29,rst,sacramento river,knights landing,1997,extreme_value,count,Total catch of 34569 in run year 1997 at knights landing (sacramento river) is 4.1x the site median (8360),1,minor,error,open,,,
rst__sacramento_river__knights_landing__1998__extreme_value__count,2026-07-29,rst,sacramento river,knights landing,1998,extreme_value,count,Total catch of 36440 in run year 1998 at knights landing (sacramento river) is 4.4x the site median (8360),1,minor,error,open,,,
rst__sacramento_river__knights_landing__2003__extreme_value__count,2026-07-29,rst,sacramento river,knights landing,2003,extreme_value,count,Total catch of 58930 in run year 2003 at knights landing (sacramento river) is 7x the site median (8360),1,minor,error,open,,,
rst__sacramento_river__knights_landing__2008__extreme_value__count,2026-07-29,rst,sacramento river,knights landing,2008,extreme_value,count,Total catch of 38792 in run year 2008 at knights landing (sacramento river) is 4.6x the site median (8360),1,minor,error,open,,,
rst__sacramento_river__knights_landing__2014__extreme_value__count,2026-07-29,rst,sacramento river,knights landing,2014,extreme_value,count,Total catch of 106696 in run year 2014 at knights landing (sacramento river) is 12.8x the site median (8360),1,minor,error,open,,,
rst__sacramento_river__tisdale__2014__extreme_value__count,2026-07-29,rst,sacramento river,tisdale,2014,extreme_value,count,Total catch of 55883 in run year 2014 at tisdale (sacramento river) is 11.3x the site median (4965),1,minor,error,open,,,
rst__yuba_river__hallwood__2000__extreme_value__count,2026-07-29,rst,yuba river,hallwood,2000,extreme_value,count,Total catch of 405485 in run year 2000 at hallwood (yuba river) is 4.3x the site median (94247),1,minor,error,open,,,
rst__yuba_river__hallwood__2001__extreme_value__count,2026-07-29,rst,yuba river,hallwood,2001,extreme_value,count,Total catch of 554282 in run year 2001 at hallwood (yuba river) is 5.9x the site median (94247),1,minor,error,open,,,
rst__yuba_river__hallwood__2002__extreme_value__count,2026-07-29,rst,yuba river,hallwood,2002,extreme_value,count,Total catch of 385800 in run year 2002 at hallwood (yuba river) is 4.1x the site median (94247),1,minor,error,open,,,
rst__yuba_river__hallwood__2007__extreme_value__count,2026-07-29,rst,yuba river,hallwood,2007,extreme_value,count,Total catch of 406712 in run year 2007 at hallwood (yuba river) is 4.3x the site median (94247),1,minor,error,open,,,
efficiency__yuba_river__hallwood__2026__no_efficiency_trials__number_released,2026-07-29,efficiency,yuba river,hallwood,2026,no_efficiency_trials,number_released,hallwood (yuba river) had RST catch activity in run year 2026 but zero efficiency trials logged anywhere in weekly_efficiency for that year,0,critical,error,open,,,
efficiency__battle_creek__ubc__2026__no_efficiency_trials__number_released,2026-07-29,efficiency,battle creek,ubc,2026,no_efficiency_trials,number_released,ubc (battle creek) had RST catch activity in run year 2026 but zero efficiency trials logged anywhere in weekly_efficiency for that year,0,critical,error,open,,,
efficiency__clear_creek__ucc__2026__no_efficiency_trials__number_released,2026-07-29,efficiency,clear creek,ucc,2026,no_efficiency_trials,number_released,ucc (clear creek) had RST catch activity in run year 2026 but zero efficiency trials logged anywhere in weekly_efficiency for that year,0,critical,error,open,,,
efficiency__clear_creek__lcc__2026__no_efficiency_trials__number_released,2026-07-29,efficiency,clear creek,lcc,2026,no_efficiency_trials,number_released,lcc (clear creek) had RST catch activity in run year 2026 but zero efficiency trials logged anywhere in weekly_efficiency for that year,0,critical,error,open,,,
efficiency__sacramento_river__knights_landing__2026__no_efficiency_trials__number_released,2026-07-29,efficiency,sacramento river,knights landing,2026,no_efficiency_trials,number_released,knights landing (sacramento river) had RST catch activity in run year 2026 but zero efficiency trials logged anywhere in weekly_efficiency for that year,0,critical,error,open,,,
