log_id,date_identified,data_type,stream,site,run_year,issue_type,field,description,n_records,severity,alert_level,status,reviewer_notes,date_resolved,fix_script
rst__feather_river__eye_riffle__2001__implausible_value__fork_length,7/2/26,rst,feather river,eye riffle,2001,implausible_value,fork_length,"1 record(s) with fork_length <20mm or >200mm in run year 2001 at eye riffle (feather river). Range of flagged values: [10, 10]mm",1,critical,warning,open,,,
rst__feather_river__eye_riffle__2020__implausible_value__fork_length,7/2/26,rst,feather river,eye riffle,2020,implausible_value,fork_length,"1 record(s) with fork_length <20mm or >200mm in run year 2020 at eye riffle (feather river). Range of flagged values: [600, 600]mm",1,critical,warning,open,,,
rst__feather_river__gateway_riffle__2015__implausible_value__fork_length,7/2/26,rst,feather river,gateway riffle,2015,implausible_value,fork_length,"1 record(s) with fork_length <20mm or >200mm in run year 2015 at gateway riffle (feather river). Range of flagged values: [5, 5]mm",1,critical,warning,open,,,
rst__feather_river__herringer_riffle__2002__implausible_value__fork_length,7/2/26,rst,feather river,herringer riffle,2002,implausible_value,fork_length,"1 record(s) with fork_length <20mm or >200mm in run year 2002 at herringer riffle (feather river). Range of flagged values: [210, 210]mm",1,critical,warning,open,,,
rst__feather_river__herringer_riffle__2005__implausible_value__fork_length,7/2/26,rst,feather river,herringer riffle,2005,implausible_value,fork_length,"1 record(s) with fork_length <20mm or >200mm in run year 2005 at herringer riffle (feather river). Range of flagged values: [299, 299]mm",1,critical,warning,open,,,
rst__feather_river__herringer_riffle__2006__implausible_value__fork_length,7/2/26,rst,feather river,herringer riffle,2006,implausible_value,fork_length,"1 record(s) with fork_length <20mm or >200mm in run year 2006 at herringer riffle (feather river). Range of flagged values: [9, 9]mm",1,critical,warning,open,,,
rst__feather_river__herringer_riffle__2017__implausible_value__fork_length,7/2/26,rst,feather river,herringer riffle,2017,implausible_value,fork_length,"1 record(s) with fork_length <20mm or >200mm in run year 2017 at herringer riffle (feather river). Range of flagged values: [413, 413]mm",1,critical,warning,open,,,
rst__feather_river__herringer_riffle__2020__implausible_value__fork_length,7/2/26,rst,feather river,herringer riffle,2020,implausible_value,fork_length,"2 record(s) with fork_length <20mm or >200mm in run year 2020 at herringer riffle (feather river). Range of flagged values: [496, 810]mm",2,critical,warning,open,,,
rst__feather_river__herringer_riffle__2024__implausible_value__fork_length,7/2/26,rst,feather river,herringer riffle,2024,implausible_value,fork_length,"4 record(s) with fork_length <20mm or >200mm in run year 2024 at herringer riffle (feather river). Range of flagged values: [3, 5]mm",4,critical,warning,open,,,
rst__feather_river__live_oak__2000__implausible_value__fork_length,7/2/26,rst,feather river,live oak,2000,implausible_value,fork_length,"1 record(s) with fork_length <20mm or >200mm in run year 2000 at live oak (feather river). Range of flagged values: [220, 220]mm",1,critical,warning,open,,,
rst__feather_river__steep_riffle__2012__implausible_value__fork_length,7/2/26,rst,feather river,steep riffle,2012,implausible_value,fork_length,"1 record(s) with fork_length <20mm or >200mm in run year 2012 at steep riffle (feather river). Range of flagged values: [3, 3]mm",1,critical,warning,open,,,
rst__feather_river__sunset_pumps__2011__implausible_value__fork_length,7/2/26,rst,feather river,sunset pumps,2011,implausible_value,fork_length,"2 record(s) with fork_length <20mm or >200mm in run year 2011 at sunset pumps (feather river). Range of flagged values: [207, 212]mm",2,critical,warning,open,,,
rst__mill_creek__mill_creek__2022__implausible_value__fork_length,7/2/26,rst,mill creek,mill creek,2022,implausible_value,fork_length,"2 record(s) with fork_length <20mm or >200mm in run year 2022 at mill creek (mill creek). Range of flagged values: [15, 15]mm",2,critical,warning,open,,,
rst__mill_creek__mill_creek__2023__implausible_value__fork_length,7/2/26,rst,mill creek,mill creek,2023,implausible_value,fork_length,"1 record(s) with fork_length <20mm or >200mm in run year 2023 at mill creek (mill creek). Range of flagged values: [9, 9]mm",1,critical,warning,open,,,
rst__mill_creek__mill_creek__2024__implausible_value__fork_length,7/2/26,rst,mill creek,mill creek,2024,implausible_value,fork_length,"1 record(s) with fork_length <20mm or >200mm in run year 2024 at mill creek (mill creek). Range of flagged values: [3, 3]mm",1,critical,warning,open,,,
rst__sacramento_river__knights_landing__1996__implausible_value__fork_length,7/2/26,rst,sacramento river,knights landing,1996,implausible_value,fork_length,"137 record(s) with fork_length <20mm or >200mm in run year 1996 at knights landing (sacramento river). Range of flagged values: [201, 518]mm",137,critical,warning,open,,,
rst__sacramento_river__knights_landing__1997__implausible_value__fork_length,7/2/26,rst,sacramento river,knights landing,1997,implausible_value,fork_length,"1 record(s) with fork_length <20mm or >200mm in run year 1997 at knights landing (sacramento river). Range of flagged values: [217, 217]mm",1,critical,warning,open,,,
rst__sacramento_river__knights_landing__1998__implausible_value__fork_length,7/2/26,rst,sacramento river,knights landing,1998,implausible_value,fork_length,"1 record(s) with fork_length <20mm or >200mm in run year 1998 at knights landing (sacramento river). Range of flagged values: [1020, 1020]mm",1,critical,warning,open,,,
rst__sacramento_river__knights_landing__2001__implausible_value__fork_length,7/2/26,rst,sacramento river,knights landing,2001,implausible_value,fork_length,"3 record(s) with fork_length <20mm or >200mm in run year 2001 at knights landing (sacramento river). Range of flagged values: [6, 8]mm",3,critical,warning,open,,,
rst__sacramento_river__knights_landing__2005__implausible_value__fork_length,7/2/26,rst,sacramento river,knights landing,2005,implausible_value,fork_length,"4 record(s) with fork_length <20mm or >200mm in run year 2005 at knights landing (sacramento river). Range of flagged values: [7, 369]mm",4,critical,warning,open,,,
rst__sacramento_river__knights_landing__2008__implausible_value__fork_length,7/2/26,rst,sacramento river,knights landing,2008,implausible_value,fork_length,"3 record(s) with fork_length <20mm or >200mm in run year 2008 at knights landing (sacramento river). Range of flagged values: [204, 366]mm",3,critical,warning,open,,,
rst__sacramento_river__knights_landing__2015__implausible_value__fork_length,7/2/26,rst,sacramento river,knights landing,2015,implausible_value,fork_length,"1 record(s) with fork_length <20mm or >200mm in run year 2015 at knights landing (sacramento river). Range of flagged values: [245, 245]mm",1,critical,warning,open,,,
rst__sacramento_river__knights_landing__2017__implausible_value__fork_length,7/2/26,rst,sacramento river,knights landing,2017,implausible_value,fork_length,"2 record(s) with fork_length <20mm or >200mm in run year 2017 at knights landing (sacramento river). Range of flagged values: [201, 269]mm",2,critical,warning,open,,,
rst__sacramento_river__knights_landing__2018__implausible_value__fork_length,7/2/26,rst,sacramento river,knights landing,2018,implausible_value,fork_length,"2 record(s) with fork_length <20mm or >200mm in run year 2018 at knights landing (sacramento river). Range of flagged values: [202, 220]mm",2,critical,warning,open,,,
rst__sacramento_river__knights_landing__2019__implausible_value__fork_length,7/2/26,rst,sacramento river,knights landing,2019,implausible_value,fork_length,"2 record(s) with fork_length <20mm or >200mm in run year 2019 at knights landing (sacramento river). Range of flagged values: [215, 991]mm",2,critical,warning,open,,,
rst__sacramento_river__knights_landing__2021__implausible_value__fork_length,7/2/26,rst,sacramento river,knights landing,2021,implausible_value,fork_length,"1 record(s) with fork_length <20mm or >200mm in run year 2021 at knights landing (sacramento river). Range of flagged values: [1, 1]mm",1,critical,warning,open,,,
rst__sacramento_river__knights_landing__2022__implausible_value__fork_length,7/2/26,rst,sacramento river,knights landing,2022,implausible_value,fork_length,"2 record(s) with fork_length <20mm or >200mm in run year 2022 at knights landing (sacramento river). Range of flagged values: [4, 205]mm",2,critical,warning,open,,,
rst__sacramento_river__knights_landing__2024__implausible_value__fork_length,7/2/26,rst,sacramento river,knights landing,2024,implausible_value,fork_length,"1 record(s) with fork_length <20mm or >200mm in run year 2024 at knights landing (sacramento river). Range of flagged values: [210, 210]mm",1,critical,warning,open,,,
rst__sacramento_river__knights_landing__2025__implausible_value__fork_length,7/2/26,rst,sacramento river,knights landing,2025,implausible_value,fork_length,"2 record(s) with fork_length <20mm or >200mm in run year 2025 at knights landing (sacramento river). Range of flagged values: [712, 822]mm",2,critical,warning,open,,,
rst__sacramento_river__knights_landing__2026__implausible_value__fork_length,7/2/26,rst,sacramento river,knights landing,2026,implausible_value,fork_length,"2 record(s) with fork_length <20mm or >200mm in run year 2026 at knights landing (sacramento river). Range of flagged values: [337, 347]mm",2,critical,warning,open,,,
rst__sacramento_river__tisdale__2014__implausible_value__fork_length,7/2/26,rst,sacramento river,tisdale,2014,implausible_value,fork_length,"1 record(s) with fork_length <20mm or >200mm in run year 2014 at tisdale (sacramento river). Range of flagged values: [220, 220]mm",1,critical,warning,open,,,
rst__sacramento_river__tisdale__2019__implausible_value__fork_length,7/2/26,rst,sacramento river,tisdale,2019,implausible_value,fork_length,"1 record(s) with fork_length <20mm or >200mm in run year 2019 at tisdale (sacramento river). Range of flagged values: [15, 15]mm",1,critical,warning,open,,,
rst__sacramento_river__tisdale__2020__implausible_value__fork_length,7/2/26,rst,sacramento river,tisdale,2020,implausible_value,fork_length,"3 record(s) with fork_length <20mm or >200mm in run year 2020 at tisdale (sacramento river). Range of flagged values: [17, 4038]mm",3,critical,warning,open,,,
rst__sacramento_river__tisdale__2021__implausible_value__fork_length,7/2/26,rst,sacramento river,tisdale,2021,implausible_value,fork_length,"1 record(s) with fork_length <20mm or >200mm in run year 2021 at tisdale (sacramento river). Range of flagged values: [222, 222]mm",1,critical,warning,open,,,
rst__sacramento_river__tisdale__2022__implausible_value__fork_length,7/2/26,rst,sacramento river,tisdale,2022,implausible_value,fork_length,"1 record(s) with fork_length <20mm or >200mm in run year 2022 at tisdale (sacramento river). Range of flagged values: [250, 250]mm",1,critical,warning,open,,,
rst__sacramento_river__tisdale__2023__implausible_value__fork_length,7/2/26,rst,sacramento river,tisdale,2023,implausible_value,fork_length,"1 record(s) with fork_length <20mm or >200mm in run year 2023 at tisdale (sacramento river). Range of flagged values: [203, 203]mm",1,critical,warning,open,,,
rst__yuba_river__hallwood__2000__implausible_value__fork_length,7/2/26,rst,yuba river,hallwood,2000,implausible_value,fork_length,"1 record(s) with fork_length <20mm or >200mm in run year 2000 at hallwood (yuba river). Range of flagged values: [4, 4]mm",1,critical,warning,open,,,
rst__yuba_river__hallwood__2001__implausible_value__fork_length,7/2/26,rst,yuba river,hallwood,2001,implausible_value,fork_length,"1 record(s) with fork_length <20mm or >200mm in run year 2001 at hallwood (yuba river). Range of flagged values: [723, 723]mm",1,critical,warning,open,,,
rst__yuba_river__hallwood__2004__implausible_value__fork_length,7/2/26,rst,yuba river,hallwood,2004,implausible_value,fork_length,"1 record(s) with fork_length <20mm or >200mm in run year 2004 at hallwood (yuba river). Range of flagged values: [17, 17]mm",1,critical,warning,open,,,
rst__yuba_river__hallwood__2009__implausible_value__fork_length,7/2/26,rst,yuba river,hallwood,2009,implausible_value,fork_length,"1 record(s) with fork_length <20mm or >200mm in run year 2009 at hallwood (yuba river). Range of flagged values: [1, 1]mm",1,critical,warning,open,,,
