week,year,stream,gage_number,gage_agency,site_group,parameter,statistic,value
1,2002,clear creek,LCC,USFWS,clear creek,temperature,min,8.53
2,2002,clear creek,LCC,USFWS,clear creek,temperature,max,10.39
2,2002,clear creek,LCC,USFWS,clear creek,temperature,mean,9.005260258358662
2,2002,clear creek,LCC,USFWS,clear creek,temperature,min,7.61
3,2002,clear creek,LCC,USFWS,clear creek,temperature,max,8.38
3,2002,clear creek,LCC,USFWS,clear creek,temperature,mean,7.155063956433637
3,2002,clear creek,LCC,USFWS,clear creek,temperature,min,6.06
4,2002,clear creek,LCC,USFWS,clear creek,temperature,max,8.23
4,2002,clear creek,LCC,USFWS,clear creek,temperature,mean,6.254756838905776
4,2002,clear creek,LCC,USFWS,clear creek,temperature,min,4.97
5,2002,clear creek,LCC,USFWS,clear creek,temperature,max,7.61
5,2002,clear creek,LCC,USFWS,clear creek,temperature,mean,5.9162993920972635
5,2002,clear creek,LCC,USFWS,clear creek,temperature,min,4.34
6,2002,clear creek,LCC,USFWS,clear creek,temperature,max,7.77
6,2002,clear creek,LCC,USFWS,clear creek,temperature,mean,6.463564463019251
6,2002,clear creek,LCC,USFWS,clear creek,temperature,min,4.97
7,2002,clear creek,LCC,USFWS,clear creek,temperature,max,8.99
7,2002,clear creek,LCC,USFWS,clear creek,temperature,mean,7.5272575822651
7,2002,clear creek,LCC,USFWS,clear creek,temperature,min,5.9
8,2002,clear creek,LCC,USFWS,clear creek,temperature,max,10.71
8,2002,clear creek,LCC,USFWS,clear creek,temperature,mean,8.957109295845997
8,2002,clear creek,LCC,USFWS,clear creek,temperature,min,7.31
9,2002,clear creek,LCC,USFWS,clear creek,temperature,max,10.71
9,2002,clear creek,LCC,USFWS,clear creek,temperature,mean,8.390910587639311
9,2002,clear creek,LCC,USFWS,clear creek,temperature,min,6.68
10,2002,clear creek,LCC,USFWS,clear creek,temperature,max,11.02
10,2002,clear creek,LCC,USFWS,clear creek,temperature,mean,8.39536600810537
10,2002,clear creek,LCC,USFWS,clear creek,temperature,min,6.21
11,2002,clear creek,LCC,USFWS,clear creek,temperature,max,11.17
11,2002,clear creek,LCC,USFWS,clear creek,temperature,mean,8.37922302431611
11,2002,clear creek,LCC,USFWS,clear creek,temperature,min,6.21
12,2002,clear creek,LCC,USFWS,clear creek,temperature,max,11.79
12,2002,clear creek,LCC,USFWS,clear creek,temperature,mean,9.40823518237082
12,2002,clear creek,LCC,USFWS,clear creek,temperature,min,6.84
13,2002,clear creek,LCC,USFWS,clear creek,temperature,max,14.26
13,2002,clear creek,LCC,USFWS,clear creek,temperature,mean,11.119332573454912
13,2002,clear creek,LCC,USFWS,clear creek,temperature,min,8.07
14,2002,clear creek,LCC,USFWS,clear creek,temperature,max,14.89
14,2002,clear creek,LCC,USFWS,clear creek,temperature,mean,12.092017477203646
14,2002,clear creek,LCC,USFWS,clear creek,temperature,min,10.08
15,2002,clear creek,LCC,USFWS,clear creek,temperature,max,16
15,2002,clear creek,LCC,USFWS,clear creek,temperature,mean,12.365540146909828
15,2002,clear creek,LCC,USFWS,clear creek,temperature,min,10.08
16,2002,clear creek,LCC,USFWS,clear creek,temperature,max,15.05
16,2002,clear creek,LCC,USFWS,clear creek,temperature,mean,11.10575396825397
16,2002,clear creek,LCC,USFWS,clear creek,temperature,min,8.07
17,2002,clear creek,LCC,USFWS,clear creek,temperature,max,16
17,2002,clear creek,LCC,USFWS,clear creek,temperature,mean,12.412686170212766
17,2002,clear creek,LCC,USFWS,clear creek,temperature,min,10.08
18,2002,clear creek,LCC,USFWS,clear creek,temperature,max,16.32
18,2002,clear creek,LCC,USFWS,clear creek,temperature,mean,13.013815856129685
18,2002,clear creek,LCC,USFWS,clear creek,temperature,min,10.24
19,2002,clear creek,LCC,USFWS,clear creek,temperature,max,17.11
19,2002,clear creek,LCC,USFWS,clear creek,temperature,mean,13.413056610942249
19,2002,clear creek,LCC,USFWS,clear creek,temperature,min,10.86
20,2002,clear creek,LCC,USFWS,clear creek,temperature,max,17.75
20,2002,clear creek,LCC,USFWS,clear creek,temperature,mean,13.967742733457019
20,2002,clear creek,LCC,USFWS,clear creek,temperature,min,10.55
21,2002,clear creek,LCC,USFWS,clear creek,temperature,max,17.91
21,2002,clear creek,LCC,USFWS,clear creek,temperature,mean,14.055524316109421
21,2002,clear creek,LCC,USFWS,clear creek,temperature,min,10.24
22,2002,clear creek,LCC,USFWS,clear creek,temperature,max,19.21
22,2002,clear creek,LCC,USFWS,clear creek,temperature,mean,15.952064969604862
22,2002,clear creek,LCC,USFWS,clear creek,temperature,min,13.03
23,2002,clear creek,LCC,USFWS,clear creek,temperature,max,19.53
23,2002,clear creek,LCC,USFWS,clear creek,temperature,mean,15.67529761904762
23,2002,clear creek,LCC,USFWS,clear creek,temperature,min,12.25
24,2002,clear creek,LCC,USFWS,clear creek,temperature,max,19.04
24,2002,clear creek,LCC,USFWS,clear creek,temperature,mean,16.068035714285713
24,2002,clear creek,LCC,USFWS,clear creek,temperature,min,13.33
25,2002,clear creek,LCC,USFWS,clear creek,temperature,max,19.53
25,2002,clear creek,LCC,USFWS,clear creek,temperature,mean,16.47623299319728
25,2002,clear creek,LCC,USFWS,clear creek,temperature,min,14.11
26,2002,clear creek,LCC,USFWS,clear creek,temperature,max,20.99
26,2002,clear creek,LCC,USFWS,clear creek,temperature,mean,17.009975414078674
26,2002,clear creek,LCC,USFWS,clear creek,temperature,min,14.42
27,2002,clear creek,LCC,USFWS,clear creek,temperature,max,24.89
27,2002,clear creek,LCC,USFWS,clear creek,temperature,mean,20.526272163120563
27,2002,clear creek,LCC,USFWS,clear creek,temperature,min,15.53
28,2002,clear creek,LCC,USFWS,clear creek,temperature,max,25.58
28,2002,clear creek,LCC,USFWS,clear creek,temperature,mean,21.004283008658007
28,2002,clear creek,LCC,USFWS,clear creek,temperature,min,17.11
29,2002,clear creek,LCC,USFWS,clear creek,temperature,max,25.06
