week,year,stream,gage_number,gage_agency,site_group,parameter,statistic,value
26,2004,battle creek,UBC,USFWS,battle creek,temperature,max,20.32
26,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,18.27952806122449
26,2004,battle creek,UBC,USFWS,battle creek,temperature,min,16.31
27,2004,battle creek,UBC,USFWS,battle creek,temperature,max,21.31
27,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,19.28369047619048
27,2004,battle creek,UBC,USFWS,battle creek,temperature,min,17.09
28,2004,battle creek,UBC,USFWS,battle creek,temperature,max,20.48
28,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,18.23283102526725
28,2004,battle creek,UBC,USFWS,battle creek,temperature,min,16.14
29,2004,battle creek,UBC,USFWS,battle creek,temperature,max,22.14
29,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,18.940838799805636
29,2004,battle creek,UBC,USFWS,battle creek,temperature,min,15.99
30,2004,battle creek,UBC,USFWS,battle creek,temperature,max,21.81
30,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,19.69557640913508
30,2004,battle creek,UBC,USFWS,battle creek,temperature,min,17.57
31,2004,battle creek,UBC,USFWS,battle creek,temperature,max,21.14
31,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,19.0707416180758
31,2004,battle creek,UBC,USFWS,battle creek,temperature,min,16.78
32,2004,battle creek,UBC,USFWS,battle creek,temperature,max,21.47
32,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,18.728567784256562
32,2004,battle creek,UBC,USFWS,battle creek,temperature,min,16.14
33,2004,battle creek,UBC,USFWS,battle creek,temperature,max,21.31
33,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,18.950514455782315
33,2004,battle creek,UBC,USFWS,battle creek,temperature,min,16.46
34,2004,battle creek,UBC,USFWS,battle creek,temperature,max,21.14
34,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,18.31243440233236
34,2004,battle creek,UBC,USFWS,battle creek,temperature,min,15.83
35,2004,battle creek,UBC,USFWS,battle creek,temperature,max,20.32
35,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,17.894128401360543
35,2004,battle creek,UBC,USFWS,battle creek,temperature,min,15.52
36,2004,battle creek,UBC,USFWS,battle creek,temperature,max,19.51
36,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,16.965966350826047
36,2004,battle creek,UBC,USFWS,battle creek,temperature,min,14.57
37,2004,battle creek,UBC,USFWS,battle creek,temperature,max,19.03
37,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,16.819295432458695
37,2004,battle creek,UBC,USFWS,battle creek,temperature,min,14.57
38,2004,battle creek,UBC,USFWS,battle creek,temperature,max,17.89
38,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,14.790446428571428
38,2004,battle creek,UBC,USFWS,battle creek,temperature,min,12.24
39,2004,battle creek,UBC,USFWS,battle creek,temperature,max,16.62
39,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,14.950634718172982
39,2004,battle creek,UBC,USFWS,battle creek,temperature,min,13.33
40,2004,battle creek,UBC,USFWS,battle creek,temperature,max,16.94
40,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,15.179079700061843
40,2004,battle creek,UBC,USFWS,battle creek,temperature,min,13.64
41,2004,battle creek,UBC,USFWS,battle creek,temperature,max,16.31
41,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,14.023363702623907
41,2004,battle creek,UBC,USFWS,battle creek,temperature,min,11.78
42,2004,battle creek,UBC,USFWS,battle creek,temperature,max,15.52
42,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,12.829041545189503
42,2004,battle creek,UBC,USFWS,battle creek,temperature,min,11.01
43,2004,battle creek,UBC,USFWS,battle creek,temperature,max,12.4
43,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,11.076229956268222
43,2004,battle creek,UBC,USFWS,battle creek,temperature,min,9.61
44,2004,battle creek,UBC,USFWS,battle creek,temperature,max,11.78
44,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,10.167214285714289
44,2004,battle creek,UBC,USFWS,battle creek,temperature,min,8.38
45,2004,battle creek,UBC,USFWS,battle creek,temperature,max,11.78
45,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,10.627261904761905
45,2004,battle creek,UBC,USFWS,battle creek,temperature,min,8.84
46,2004,battle creek,UBC,USFWS,battle creek,temperature,max,12.24
46,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,10.950998542274053
46,2004,battle creek,UBC,USFWS,battle creek,temperature,min,9.92
47,2004,battle creek,UBC,USFWS,battle creek,temperature,max,10.86
47,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,8.897849854227404
47,2004,battle creek,UBC,USFWS,battle creek,temperature,min,7.15
48,2004,battle creek,UBC,USFWS,battle creek,temperature,max,9.77
48,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,7.892241253644315
48,2004,battle creek,UBC,USFWS,battle creek,temperature,min,5.75
49,2004,battle creek,UBC,USFWS,battle creek,temperature,max,10.54
49,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,7.505382653061225
49,2004,battle creek,UBC,USFWS,battle creek,temperature,min,5.75
50,2004,battle creek,UBC,USFWS,battle creek,temperature,max,11.01
50,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,9.90615038872692
50,2004,battle creek,UBC,USFWS,battle creek,temperature,min,8.38
51,2004,battle creek,UBC,USFWS,battle creek,temperature,max,8.99
51,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,8.30067480563654
51,2004,battle creek,UBC,USFWS,battle creek,temperature,min,7.61
52,2004,battle creek,UBC,USFWS,battle creek,temperature,max,8.99
52,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,7.785682701652091
52,2004,battle creek,UBC,USFWS,battle creek,temperature,min,6.53
53,2004,battle creek,UBC,USFWS,battle creek,temperature,max,8.69
53,2004,battle creek,UBC,USFWS,battle creek,temperature,mean,8.18306294326241
53,2004,battle creek,UBC,USFWS,battle creek,temperature,min,7.61
1,2005,battle creek,UBC,USFWS,battle creek,temperature,max,8.84
1,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,7.748707482993198
1,2005,battle creek,UBC,USFWS,battle creek,temperature,min,5.91
2,2005,battle creek,UBC,USFWS,battle creek,temperature,max,8.53
2,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,7.302554057337221
2,2005,battle creek,UBC,USFWS,battle creek,temperature,min,5.59
3,2005,battle creek,UBC,USFWS,battle creek,temperature,max,10.08
3,2005,battle creek,UBC,USFWS,battle creek,temperature,mean,9.142351190476191
3,2005,battle creek,UBC,USFWS,battle creek,temperature,min,7.92
4,2005,battle creek,UBC,USFWS,battle creek,temperature,max,10.86
