Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
2009,159,295,100,131.80000000000007,6,179.9666187167045,3,0.029914529914529916,139,3350,156,27,145.6,510,129,NA,152,NA,NA,1,NA,5377.000000000002,2815,4132,NA,1,NA
2010,83,326,109,154.2,3,227.981454760152,13,0.024186474633169093,53,479,273,185,265.8,391,88,NA,NA,NA,NA,NA,NA,5377.000000000002,2815,4132,NA,NA,NA
2011,132,341,136.5,150,4,699.9830464019216,23,0.022474747474747474,108,1300,233,190,195.70000000000002,443.5,43,NA,NA,NA,NA,NA,NA,5377.000000000002,2815,4132,NA,NA,NA
2012,106,302,94.25,113,4,235.97469878050495,4,0.024539877300613498,90,1190,212,105,138,247,107,NA,NA,NA,NA,NA,NA,5377.000000000002,2815,4132,NA,NA,NA
2013,196,288,91.8,94,NA,NA,NA,0.03464274998928464,219,2310,69,27,115.2,251,42,NA,62,62,NA,1,1,5377.000000000002,2815,4132,NA,1,1
2014,133,280,75.6,95.24,8,148.99768837172746,51,0.020030916643066096,97,1020,183,65,94,199,118,NA,NA,NA,NA,NA,NA,5377.000000000002,2815,4132,NA,NA,NA
2015,171,268,71.4,89.9,4,134.99742363929622,25,0.022222222222222223,185,828,83,36,102.5,310,47,NA,71,71,NA,1,1,5377.000000000002,2815,4132,NA,1,1
2016,121,298,101,288,2,106.98548801150592,39,0.030120481927710843,130,2170,168,95,152.8,338,73,NA,157,NA,NA,1,NA,5377.000000000002,2815,4132,NA,1,NA
2017,91,305,135,173,3,192.99428610321843,13,0.03991130820399113,161,2630,144,91,243,610,53,103,102,99,2,11,5,5377.000000000002,2815,4132,2,4,3
2018,161,286,104,122,NA,NA,NA,0.022857889237199582,94,3130,192,162,151,220.5,30,NA,188,NA,NA,1,NA,5377.000000000002,2815,4132,NA,1,NA
2019,100,324,128,140.10000000000002,5,195.9942194510426,54,0.022222222222222223,83,1780,241,160,237,605.5,81,NA,136,136,NA,3,1,5377.000000000002,2815,4132,NA,3,1
2020,141,299,93.2,104,NA,NA,NA,0.014925373134328358,65,545,234,176,138,176.5,58,NA,NA,NA,NA,NA,NA,5377.000000000002,2815,4132,NA,NA,NA
2021,102,278,77.1,81.6,2,172.99419034967815,48,0.018595041322314022,101,193,177,103,106.2,147,74,NA,NA,NA,NA,NA,NA,5377.000000000002,2815,4132,NA,NA,NA
2022,115,309,84,102.20000000000002,NA,NA,NA,0.016784164620354036,97,344,212,198,120.7,192.5,14,NA,NA,NA,NA,NA,NA,5377.000000000002,2815,4132,NA,NA,NA
2023,162,294,113.5,185,5,201.00828146225567,39,0.03271028037383177,60,1100,234,176,151.5,467.5,58,NA,105,NA,NA,1,NA,5377.000000000002,2815,4132,NA,1,NA
2024,156,300,118.5,143,5,216.99338288695986,49,0.023121387283236993,67,705,233,143,281.6,482,90,NA,141,NA,NA,1,NA,5377.000000000002,2815,4132,NA,1,NA
