Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
2015,277,182,70,103.4,NA,NA,NA,0.036798839458413925,102,766,80,33,78.46000000000001,186,47,NA,71,NA,NA,1,NA,7319.0000000000055,3610,5244.000000000001,NA,1,NA
2016,198,223,91.80000000000001,206.80000000000007,2,264.9878260855811,71,0.043478260869565216,55,3240,168,75,273,511,93,NA,157,NA,NA,1,NA,7319.0000000000055,3610,5244.000000000001,NA,1,NA
2017,187,272,141,222.8,5,148.99929120455806,15,0.03594771241830065,125,3910,147,92,233.2,937,55,131,121,115,1,11,6,7319.0000000000055,3610,5244.000000000001,1,4,4
2018,170,277,88.6,118.1,3,263.99356676949463,34,0.028735632183908046,85,2660,192,99,159.8,285,93,NA,172,NA,NA,1,NA,7319.0000000000055,3610,5244.000000000001,NA,1,NA
2019,118,301,113,123.3,5,220.9930454681412,54,0.027600849256900213,107,1640,194,113,238.40000000000003,707,81,NA,142,142.5,NA,3,2,7319.0000000000055,3610,5244.000000000001,NA,2,2
2020,159,276,76.4,89.6,NA,NA,NA,0.036622073578595316,42,381,234,181,122,163,53,NA,NA,NA,NA,NA,NA,7319.0000000000055,3610,5244.000000000001,NA,NA,NA
2021,108,272,62.5,64.88,4,117.97951054388672,44,0.018518518518518517,88,199,184,115,100.4,142,69,NA,NA,NA,NA,NA,NA,7319.0000000000055,3610,5244.000000000001,NA,NA,NA
2022,172,274,71.85,124,NA,NA,NA,0.03203661327231134,67,485,207,193,90.67999999999999,178,14,NA,NA,NA,NA,NA,NA,7319.0000000000055,3610,5244.000000000001,NA,NA,NA
2023,168,284,111.5,149,4,164.00262013936725,38,0.0451257008500633,53,973,231,151,197,663,80,NA,164,NA,NA,1,NA,7319.0000000000055,3610,5244.000000000001,NA,1,NA
2024,168,284,105.5,128.3,8,165.98998530164428,37,0.033997093983224355,138,3350,146,60,163.5,426,86,NA,NA,NA,NA,NA,NA,7319.0000000000055,3610,5244.000000000001,NA,NA,NA
