Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
2000,442,185,628,638,NA,NA,NA,0.006289308176100629,25,659,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA
2001,275,343,625,636,NA,NA,NA,0.007183908045977011,28,745,315,54,628,693,261,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA
2002,288,353,631,640,NA,NA,NA,0.00631911532385466,20,1750,333,81,621,708,252,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA
2003,126,340,628,638.5,NA,NA,NA,0.003142201268728556,22,767,318,43,623,747,275,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA
2004,438,177,635,674.9000000000001,NA,NA,NA,0.03757031658817373,21,2040,156,56,621.5,629,100,NA,149,NA,NA,2,NA,43919.99999999995,2330,17780,NA,1,NA
2005,102,328,637,688,NA,NA,NA,0.011219090261524371,26,843,302,53,628.2,671,249,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA
2006,NA,223,NA,NA,NA,NA,NA,0.00909090909090909,127,64500,96,32,659,681,64,91,150,120,4,50,10,43919.99999999995,2330,17780,1,3,2
2007,271,340,652,673,NA,NA,NA,0.024042461562049755,42,1020,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA
2008,NA,348,NA,NA,NA,NA,NA,NA,NA,1090,362,117,663,697,245,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA
2009,39,339,672,680,NA,NA,NA,0.004470938897168405,34,1220,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA
2010,456,55,689,738,NA,NA,NA,0.0030476203734640084,18,2140,37,25,672,677,12,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA
2011,321,282,706,749,NA,NA,NA,0.006309101654846336,105,16800,177,32,715.1,726,145,NA,214.5,169,NA,24,2,43919.99999999995,2330,17780,NA,2,1
2012,54,346,671,687.7,NA,NA,NA,0.027522935779816515,78,5170,268,31,683,689,237,NA,258,NA,NA,11,NA,43919.99999999995,2330,17780,NA,1,NA
2013,NA,346,NA,NA,NA,NA,NA,0.06700040453074434,20,2640,326,292,984.1,1830,34,NA,164.5,NA,NA,60,NA,43919.99999999995,2330,17780,NA,2,NA
2014,218,345,958,977,NA,NA,NA,0.06593406593406594,39,1820,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA
2015,224,346,829,844.7,NA,NA,NA,0.011627906976744186,49,2330,297,100,1290,1810,197,NA,293,NA,NA,1,NA,43919.99999999995,2330,17780,NA,1,NA
2016,105,350,850,865.6,NA,NA,NA,0.05846153846153846,42,4150,308,104,950.1000000000003,1910,204,NA,220,NA,NA,64,NA,43919.99999999995,2330,17780,NA,2,NA
2017,258,272,1060,1590,NA,NA,NA,0.0671724889055058,130,93500,142,53,859,7040,89,132,158,167,17,154,57,43919.99999999995,2330,17780,1,3,5
2018,165,346,910,992.6,NA,NA,NA,0.010362862597443921,153,4890,193,29,851.4,860,164,NA,185,NA,NA,10,NA,43919.99999999995,2330,17780,NA,1,NA
2019,178,355,767,795,NA,NA,NA,0.01653944020356234,36,4250,319,174,1003.9,2610,145,NA,234.5,NA,NA,120,NA,43919.99999999995,2330,17780,NA,2,NA
2020,240,352,827,849.1,NA,NA,NA,0.012091898428053204,40,1590,312,145,703.6,804,167,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA
2021,278,323,656,676,NA,NA,NA,0.04365079365079365,26,2850,297,71,698,1610,226,NA,272.5,NA,NA,20,NA,43919.99999999995,2330,17780,NA,2,NA
2022,145,363,681,689,NA,NA,NA,0.008994069211723384,66,1610,297,62,650,1090,235,NA,NA,NA,NA,NA,NA,43919.99999999995,2330,17780,NA,NA,NA
2023,169,339,680,689,NA,NA,NA,0.12898936170212766,86,8040,253,111,691,3020,142,NA,225,167,NA,75,4,43919.99999999995,2330,17780,NA,5,1
