Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,SP_ROC,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5
2010,85,327,6120,7140,NA,NA,NA,0.027625737070142833,75,14900,252,162,7087,12300,90,NA,115.5,NA,NA,2,NA,30360,27100,29200,NA,2,NA
2011,NA,299,NA,NA,5,10199.70099177989,25,0.037383177570093455,115,27300,184,138,6844,13900,46,NA,171,NA,NA,14,NA,30360,27100,29200,NA,1,NA
2012,38,384,5335,5913,NA,NA,NA,0.018939686320347274,183,16700,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA
2013,142,338,4625,6488,NA,NA,NA,0.02592087312414734,249,26900,89,51,4290,10600,38,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA
2014,19,380,3840,4460,NA,NA,NA,0.021484284857156043,195,14200,185,71,3690,5590,114,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA
2015,242,180,4115,5889,NA,NA,NA,0.028011204481792718,41,17300,139,120,4470,6115,19,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA
2016,187,221,5080,7840,NA,NA,NA,0.051130362095824305,43,25900,178,122,4673,10030,56,NA,165,NA,NA,2,NA,30360,27100,29200,NA,1,NA
2017,171,279,6230,8070,6,11399.905147167072,33,0.026444547996272133,99,23400,180,138,7369,22450,42,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA
2018,212,223,6355,7379,3,10199.892582397304,48,0.04864236274283347,29,24200,194,110,4860,7165,84,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA
2019,NA,274,NA,NA,3,10998.383631186834,61,0.03526093088857546,78,26700,196,127,5904,22600,69,NA,154,NA,NA,10,NA,30360,27100,29200,NA,4,NA
2020,82,391,4200,5148,2,13899.391696852288,69,0.017085360459973463,152,8090,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA
2021,114,255,5260,5720,NA,NA,NA,0.02755009107468124,80,8720,175,93,4510,5110,82,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA
2022,284,156,3355,4387,NA,NA,NA,0.02035168310866782,65,19100,91,88,4190,6070,3,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA
2023,155,273,5230,6650,7,6519.975767313599,67,0.03592943201376936,97,25000,176,102,4150.000000000001,12050,74,NA,104,NA,NA,5,NA,30360,27100,29200,NA,1,NA
2024,194,234,6840,7780,NA,NA,NA,0.034945426038714346,85,26600,149,87,4672,15200,62,NA,NA,NA,NA,NA,NA,30360,27100,29200,NA,NA,NA
