comid,metric,p10,p25,p50,p75,p90,source,result_type,gageid
7968461,DS_Mag_90,1059.89892748665,1470.91568055424,1893.15468451561,2439.38435063164,3228.01949600899,model,predicted,11407000
7968461,DS_Tim,288.670833333334,298.15,306,322.4875,339.49,model,predicted,11407000
7968461,FA_Mag,1620.85247867266,2453.40635054267,3670.03665507594,5221.85154231731,9927.53928890495,model,predicted,11407000
7968461,FA_Tim,6,12,23,28.7708333333333,42.18,model,predicted,11407000
7968461,SP_Dur,76.325,90.0458333333333,114.8875,131.5,156.866666666667,model,predicted,11407000
7968461,SP_Mag,12716.3016586246,17222.5365192116,22905.410322098905,30667.390987992,38057.7437297154,model,predicted,11407000
7968461,SP_Tim,165.69,188.075,209.95,228.3,240.8775,model,predicted,11407000
7968461,Wet_BFL_Dur,74.235,101.575,133.475,157.78125,182.5,model,predicted,11407000
7968461,Wet_BFL_Mag_10,1122.43017043777,1592.55231334358,2111.31928010075,2914.35527768272,4024.51062725647,model,predicted,11407000
7968461,Wet_BFL_Mag_50,4409.49827572958,6385.12544381897,8351.02878973625,9729.77281492883,11040.5331076947,model,predicted,11407000
7968461,Wet_Tim,40.9833333333333,49.65,68.1,84.7625,104.86,model,predicted,11407000
7981844,Peak_Dur_2,1,1,3,8,18.8,inferred,predicted,11421000
7981844,Peak_Dur_5,1,1.25,2.5,3,5.7,inferred,predicted,11421000
7981844,Peak_Fre_2,1,1,2,3,5,inferred,predicted,11421000
7981844,Peak_Fre_5,1,1,1,2,3,inferred,predicted,11421000
7981844,Peak_10,38825.93840245,63278.8678732353,88255.5554261502,121608.144602344,133210.633344753,model,predicted,11421000
7981844,Peak_2,14639.1020855051,27270.9917299843,32743.579617582905,34904.8177126576,37401.2581023939,model,predicted,11421000
7981844,Peak_5,28655.7986246548,45748.9112916959,57742.5421085714,79952.7699205165,87351.1062944182,model,predicted,11421000
7981844,DS_Dur_WS,104.225,126.691666666666,152.625,174.435416666666,193.0425,model,predicted,11421000
7981844,DS_Mag_50,255.235504968614,393.880155186061,506.674591485065,658.364231922064,791.792576650143,model,predicted,11421000
7981844,DS_Mag_90,417.825844917267,576.36471608251,723.929052896582,947.563589315906,1291.04860365685,model,predicted,11421000
7981844,DS_Tim,269.466666666666,280.96875,293.55,308.885416666667,326.6,model,predicted,11421000
7981844,FA_Mag,529.129388418623,797.710248004686,1218.3252070867,2087.98594432998,3968.09080014566,model,predicted,11421000
7981844,FA_Tim,6.95833333333334,13.7416666666666,23.725,31.5,45,model,predicted,11421000
7981844,SP_Dur,46.45,58.25,73.1833333333334,107.90625,142.05,model,predicted,11421000
7981844,SP_Mag,4394.76184368057,6434.45081490126,9548.2148748139,15179.7597506319,22529.5714717279,model,predicted,11421000
7981844,SP_Tim,155.6425,188.766666666666,217.916666666667,235.38125,245.21,model,predicted,11421000
7981844,Wet_BFL_Dur,74.63,113.520833333333,142.625,167.2125,193,model,predicted,11421000
7981844,Wet_BFL_Mag_10,607.05820813341,770.948993167466,1042.59500282728,1710.80800309271,2239.55301709547,model,predicted,11421000
7981844,Wet_BFL_Mag_50,1565.18523180304,2128.53441553315,3574.912583858,4555.24829196729,5652.18889241552,model,predicted,11421000
7981844,Wet_Tim,49.14,58.6,70.05,83.81875,101,model,predicted,11421000
